run_id, n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, clique_f1, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime, approx_diff_f1
1, 1000, 5, 1e-11, 2e-11, 2.0, 0.0006754340657157614, 25169, 0.43678731773213075, 25169.0, 0.7710976600646973, 0.507715281234445, 0.0, 23318, 0.4686937130114075, 23318.0, 3.5188639163970947, 0.5102702702702703
2, 1000, 5, 1e-11, 2e-11, 2.0, 0.0012111267385528988, 25596, 0.4362009689013908, 25596.0, 0.5946335792541504, 0.5242621310655328, 0.00015543034777540314, 25735, 0.43260151544589076, 25735.0, 3.4926552772521973, 0.5246391239422598
3, 1000, 5, 1e-11, 2e-11, 2.0, 0.0006579965938999845, 25836, 0.436348505960675, 25836.0, 0.6061315536499023, 0.5015105740181269, 0.0, 22403, 0.49459893764228, 22403.0, 3.548142671585083, 0.510687463893703
4, 1000, 5, 1e-11, 2e-11, 2.0, 0.0010578693727226424, 25523, 0.4331779179563531, 25523.0, 0.5788066387176514, 0.5232729054385106, 7.830853563038371e-05, 25540, 0.43273296789350035, 25540.0, 3.5962438583374023, 0.5215686274509804
5, 1000, 5, 1e-11, 2e-11, 2.0, 0.0006196746707978311, 25820, 0.43520526723470176, 25820.0, 0.5963773727416992, 0.5107018417122947, 0.0, 22447, 0.4913351450082416, 22447.0, 3.5584237575531006, 0.5162764134780126
6, 1000, 5, 1e-11, 2e-11, 2.0, 0.0011043622308117063, 25354, 0.4393389603218427, 25354.0, 0.5801053047180176, 0.5022692889561271, 7.814026176987693e-05, 25595, 0.4345379957022856, 25595.0, 3.5414223670959473, 0.5037481259370316
7, 1000, 5, 1e-11, 2e-11, 2.0, 0.0007542076849793585, 25192, 0.43545570022229274, 25192.0, 0.627453088760376, 0.5022647206844489, 0.0, 22848, 0.4750962885154062, 22848.0, 3.499159336090088, 0.5080243497509684
8, 1000, 5, 1e-11, 2e-11, 2.0, 0.0007588465532390766, 25038, 0.43795430944963654, 25038.0, 0.591210126876831, 0.5198592257415787, 7.878668505022651e-05, 25385, 0.43206618081544224, 25385.0, 3.486727237701416, 0.5220843672456577
9, 1000, 5, 1e-11, 2e-11, 2.0, 0.0010523033751656404, 25658, 0.43551718762179437, 25658.0, 0.6063904762268066, 0.5119760479041916, 0.0002331002331002331, 25740, 0.43379953379953384, 25740.0, 3.5874078273773193, 0.5126928820308612
10, 1000, 5, 1e-11, 2e-11, 2.0, 0.0013290075440722355, 25583, 0.4372630262283548, 25583.0, 0.597205400466919, 0.5060120240480962, 7.756447547023463e-05, 25785, 0.4331200310257902, 25785.0, 3.5897531509399414, 0.501996007984032
11, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.0014525500322788896, 30980, 0.4414299548095546, 30980.0, 0.7053878307342529, 0.5113693784739767, 0.0002553055688527206, 31335, 0.4362853039731929, 31335.0, 4.498591184616089, 0.5132037867463877
12, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.001734413925767084, 31711, 0.4459808899120179, 31711.0, 0.7048025131225586, 0.513622603430878, 0.0003104144032283098, 32215, 0.4384603445599876, 32215.0, 4.544831991195679, 0.5161611138736947
13, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.002418417663871353, 31839, 0.44010490279217307, 31839.0, 0.6707558631896973, 0.5057471264367817, 0.0004392156862745098, 31875, 0.4388392156862745, 31875.0, 4.4713263511657715, 0.504
14, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.002111670082603565, 32202, 0.44469287621886844, 32202.0, 0.7036840915679932, 0.5259969712266532, 0.00018427518427518427, 32560, 0.4383292383292383, 32560.0, 4.67411732673645, 0.5268389662027834
15, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.002355453660374988, 31841, 0.4420872460035803, 31841.0, 0.693673849105835, 0.5085085085085085, 0.0005019607843137255, 31875, 0.44084705882352937, 31875.0, 4.482687473297119, 0.5139720558882236
16, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.001979886863607794, 31820, 0.4387335009428033, 31820.0, 0.706052303314209, 0.5203574975173784, 0.00025133521834747095, 31830, 0.43826578699340246, 31830.0, 4.496167898178101, 0.5151968111609367
17, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.002158828064764842, 32425, 0.4382729375481881, 32425.0, 0.6912989616394043, 0.5178926441351889, 0.0004317656129529684, 32425, 0.4377486507324595, 32425.0, 4.54009222984314, 0.518444666001994
18, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.0021967676133689, 31865, 0.4375647261886082, 31865.0, 0.7190039157867432, 0.5092177379172894, 0.00031382394476698575, 31865, 0.437690255766515, 31865.0, 4.436793565750122, 0.5092177379172894
19, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.0021961233648429297, 31419, 0.44005219771475856, 31419.0, 0.6882514953613281, 0.5134865134865135, 0.0001901743264659271, 31550, 0.4370839936608558, 31550.0, 4.483605861663818, 0.514456630109671
20, 1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.0016385015742466107, 31126, 0.43783332262417274, 31126.0, 0.6839518547058105, 0.5059642147117296, 0.0002566158781074579, 31175, 0.4369206094627105, 31175.0, 4.355443239212036, 0.506454816285998
21, 1000, 5, 1e-11, 3e-11, 3.0, 0.0023856963087248322, 38144, 0.447907927852349, 38144.0, 0.8718447685241699, 0.5137055837563451, 0.0007222078927005416, 38770, 0.44010833118390513, 38770.0, 5.829347372055054, 0.510234648027958
22, 1000, 5, 1e-11, 3e-11, 3.0, 0.0026888161222479567, 37563, 0.4500039932912707, 37563.0, 0.9357328414916992, 0.5107661492238358, 0.0007856488149797041, 38185, 0.4419012701322509, 38185.0, 5.357111930847168, 0.5113524185587365
23, 1000, 5, 1e-11, 3e-11, 3.0, 0.002750040049126929, 37454, 0.4433304853954184, 37454.0, 0.8007287979125977, 0.5129482071713147, 0.0005319856363878176, 37595, 0.4408564968745844, 37595.0, 5.461425065994263, 0.5086762518591968
24, 1000, 5, 1e-11, 3e-11, 3.0, 0.00266374177373864, 38292, 0.4413846234200355, 38292.0, 0.8445522785186768, 0.5317976965448172, 0.0006778777212879676, 38355, 0.43986442445574236, 38355.0, 5.797348737716675, 0.5326683291770574
25, 1000, 5, 1e-11, 3e-11, 3.0, 0.002808325240807328, 38101, 0.44321671347208735, 38101.0, 0.8747463226318359, 0.5279841505695889, 0.0006289308176100629, 38160, 0.44074947589098534, 38160.0, 5.5139007568359375, 0.5261064147190453
26, 1000, 5, 1e-11, 3e-11, 3.0, 0.00264488525865422, 38565, 0.4425774666148061, 38565.0, 0.8085677623748779, 0.5056902523503216, 0.001037209905354596, 38565, 0.4422403733955659, 38565.0, 5.415592193603516, 0.5052212829438091
27, 1000, 5, 1e-11, 3e-11, 3.0, 0.0026702269692923898, 37450, 0.44120160213618154, 37450.0, 0.8128335475921631, 0.5074331020812686, 0.0005811379234004871, 36136, 0.45598572061102505, 36136.0, 5.272211790084839, 0.5056759545923633
28, 1000, 5, 1e-11, 3e-11, 3.0, 0.0027297060928100072, 37733, 0.4447168261203721, 37733.0, 0.8436150550842285, 0.5255767301905717, 0.0006848413011984722, 37965, 0.44124851837218493, 37965.0, 5.3198888301849365, 0.5201392342118349
29, 1000, 5, 1e-11, 3e-11, 3.0, 0.0026656004264960682, 37515, 0.4472211115553778, 37515.0, 0.8776633739471436, 0.5168765743073048, 0.0006322444678609062, 37960, 0.4413856691253951, 37960.0, 5.584427833557129, 0.5179640718562875
30, 1000, 5, 1e-11, 3e-11, 3.0, 0.002330025918265832, 38197, 0.4458072623504463, 38197.0, 0.9724223613739014, 0.5221723966118584, 0.0006231338439568999, 38515, 0.44042580812670384, 38515.0, 5.717996120452881, 0.5225136071251856
31, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0036230253386741076, 44438, 0.4452833160808317, 44438.0, 1.0403599739074707, 0.514456630109671, 0.0007640449438202247, 44500, 0.44357303370786516, 44500.0, 6.594149351119995, 0.5107231920199501
32, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.00349801249290176, 44025, 0.44960817717206136, 44025.0, 0.938408374786377, 0.5362173038229376, 0.0010334756234554033, 44510, 0.4440799820265109, 44510.0, 6.2263123989105225, 0.5279441117764472
33, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0034631438924819964, 43602, 0.44841979725700654, 43602.0, 0.9528167247772217, 0.5037631710988459, 0.0010382538876840017, 43342, 0.4505675787919339, 43342.0, 6.605581045150757, 0.505561172901921
34, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0030836610654272436, 44752, 0.44497452627815515, 44752.0, 1.0226869583129883, 0.5037464244641872, 0.0010081322669534243, 44637, 0.4458184913860699, 44637.0, 6.372744798660278, 0.5057471264367817
35, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0034544638851502917, 44580, 0.4445266935845671, 44580.0, 1.0090155601501465, 0.5044776119402985, 0.0008972633467922835, 44580, 0.44318079856437864, 44580.0, 6.226656198501587, 0.5039920159680639
36, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0038082284937096225, 44115, 0.4478068684121047, 44115.0, 0.9827251434326172, 0.5116973618715779, 0.0013557790080216926, 44255, 0.44568975257033105, 44255.0, 6.389896631240845, 0.5074925074925075
37, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0027855784038409276, 44156, 0.4470966573059154, 44156.0, 0.9636893272399902, 0.5143144148669011, 0.0009469056476158268, 44355, 0.4438282042610754, 44355.0, 6.4958109855651855, 0.5189243027888447
38, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.003899026357418176, 44883, 0.4477419067352896, 44883.0, 0.9410445690155029, 0.5213505461767626, 0.00124541309907706, 44965, 0.4455465361948182, 44965.0, 6.84785008430481, 0.5185919682697075
39, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0036100258185390818, 43767, 0.451927251125277, 43767.0, 0.9728250503540039, 0.5096642929806714, 0.000987100392596747, 44575, 0.4426920919798093, 44575.0, 6.393245458602905, 0.510934393638171
40, 1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0037959138104275984, 44785, 0.4444568493915373, 44785.0, 1.0040435791015625, 0.5119521912350598, 0.0012504186669643853, 44785, 0.4435190353913141, 44785.0, 6.572033882141113, 0.5017491254372813
41, 1000, 5, 1e-11, 4e-11, 4.0, 0.004404759532019214, 50173, 0.4520060590357363, 50173.0, 1.147226095199585, 0.5110220440881764, 0.0015793110255650973, 50655, 0.4475372618695094, 50655.0, 7.5618979930877686, 0.5044865403788634
42, 1000, 5, 1e-11, 4e-11, 4.0, 0.004700652977735819, 50844, 0.45261977814491383, 50844.0, 1.127565622329712, 0.5171215880893301, 0.002029268292682927, 51250, 0.4479609756097561, 51250.0, 7.434789657592773, 0.5079365079365079
43, 1000, 5, 1e-11, 4e-11, 4.0, 0.0037991858887381274, 51590, 0.44735413839891447, 51590.0, 1.1469612121582031, 0.512718204488778, 0.001744524132583834, 51590, 0.44735413839891447, 51590.0, 7.545519590377808, 0.5164506480558325
44, 1000, 5, 1e-11, 4e-11, 4.0, 0.004012412784377285, 50593, 0.45039827644140495, 50593.0, 1.2121012210845947, 0.5268979386626444, 0.001452404317958783, 50950, 0.4467909715407262, 50950.0, 7.585020303726196, 0.522
45, 1000, 5, 1e-11, 4e-11, 4.0, 0.004847241497214345, 49719, 0.4512460025342424, 49719.0, 1.1599338054656982, 0.5102963335007534, 0.001755961289035219, 50115, 0.4464531577372044, 50115.0, 7.247967958450317, 0.5057471264367817
46, 1000, 5, 1e-11, 4e-11, 4.0, 0.004293713765606759, 50539, 0.45142365302043963, 50539.0, 1.0708842277526855, 0.5097842448569995, 0.0019630938358853552, 50940, 0.44689831173930117, 50940.0, 7.520954847335815, 0.5212660731948565
47, 1000, 5, 1e-11, 4e-11, 4.0, 0.0027639467533787216, 49205, 0.44430444060562946, 49205.0, 1.0326285362243652, 0.524703557312253, 0.0006909866883446804, 49205, 0.4428818209531552, 49205.0, 6.935675382614136, 0.5174476570289133
48, 1000, 5, 1e-11, 4e-11, 4.0, 0.004324473756960626, 50642, 0.4558370522491213, 50642.0, 1.1131458282470703, 0.5063163213744316, 0.0015524936929943722, 51530, 0.44752571317679024, 51530.0, 7.441574335098267, 0.5084577114427861
49, 1000, 5, 1e-11, 4e-11, 4.0, 0.004170564390396009, 51312, 0.44862800124727165, 51312.0, 1.1194584369659424, 0.5132301547678482, 0.001635036496350365, 51375, 0.44655961070559613, 51375.0, 7.225107192993164, 0.5177057356608479
50, 1000, 5, 1e-11, 4e-11, 4.0, 0.0044038074173545555, 50638, 0.4541648564319286, 50638.0, 1.1098792552947998, 0.5226586102719034, 0.0015964177942178527, 51365, 0.4476589117103086, 51365.0, 7.546972036361694, 0.5157421289355322
51, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.004368285536713132, 56315, 0.45265914942732843, 56315.0, 1.2341945171356201, 0.5052843482637142, 0.0019355973957416858, 56830, 0.44784444835474224, 56830.0, 8.014966487884521, 0.5059760956175299
52, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.003914067619503038, 56463, 0.449010856667198, 56463.0, 1.2638111114501953, 0.5289747399702823, 0.001910828025477707, 56520, 0.44794762915782027, 56520.0, 7.963145017623901, 0.525634644101543
53, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.004597162378986461, 55469, 0.4569669545151346, 55469.0, 1.1594407558441162, 0.5159655347187025, 0.001488701816570669, 56425, 0.4482587505538326, 56425.0, 8.312171459197998, 0.5077461269365318
54, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.004638728067845824, 56481, 0.45090384377047144, 56481.0, 1.297292947769165, 0.5250501002004008, 0.0018371312488959547, 56610, 0.44909026673732555, 56610.0, 8.246602058410645, 0.5281514698555058
55, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.004659782896478687, 56655, 0.4530226811402348, 56655.0, 1.2258169651031494, 0.5160642570281125, 0.0020661880581334265, 57110, 0.4483978287515321, 57110.0, 8.67419147491455, 0.5154845154845155
56, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.004543053354463814, 56790, 0.44997358689910194, 56790.0, 1.2868154048919678, 0.5084745762711864, 0.0018665257967952105, 56790, 0.4496038034865293, 56790.0, 9.02914309501648, 0.511744127936032
57, 1000, 5, 1e-11, 4.5e-11, 4.5, 0.005226326512534326, 56445, 0.4543980866330056, 56445.0, 1.3429336547851562, 0.5103170608958228, 0.0017597888253409592, 56825, 0.4501187857457105, 56825.0, 8.99747109413147, 0.5089820359281437
