run_id, n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, clique_f1, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime, approx_diff_f1
1, 100, 3, 0.0001, 0.0002, 2.0, 0.005578800557880056, 717, 0.33891213389121344, 717.0, 0.01596212387084961, 0.5128205128205128, 0.0, 595, 0.38991596638655457, 595.0, 0.25017309188842773, 0.5121951219512195
2, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 4, 0.5, 4.0, 0.014776468276977539, 0.6666666666666666, 0.0, 4, 0.5, 4.0, 0.03576087951660156, 0.6666666666666666
3, 100, 3, 0.0001, 0.0002, 2.0, 0.005952380952380952, 672, 0.3392857142857143, 672.0, 0.015682697296142578, 0.5595854922279793, 0.002976190476190476, 672, 0.33630952380952384, 672.0, 0.40065479278564453, 0.5595854922279793
4, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 2, 0.5, 2.0, 0.01373147964477539, 1.0, 0.0, 2, 0.5, 2.0, 0.017749309539794922, 1.0
5, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 706, 0.33852691218130315, 706.0, 0.015490531921386719, 0.5128205128205128, 0.0, 632, 0.37816455696202533, 632.0, 0.36110639572143555, 0.5238095238095238
6, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 2, 0.5, 2.0, 0.015835046768188477, 0.6666666666666666, 0.0, 2, 0.5, 2.0, 0.017943382263183594, 0.6666666666666666
7, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 4, 0.5, 4.0, 0.01388692855834961, 0.6666666666666666, 0.0, 4, 0.5, 4.0, 0.017951488494873047, 0.6666666666666666
8, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 2, 0.5, 2.0, 0.01544499397277832, 1.0, 0.0, 2, 0.5, 2.0, 0.018873214721679688, 1.0
9, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 4, 0.5, 4.0, 0.016382455825805664, 1.0, 0.0, 4, 0.5, 4.0, 0.022769927978515625, 0.8
10, 100, 3, 0.0001, 0.0002, 2.0, 0.0, 2, 0.5, 2.0, 0.013689517974853516, 1.0, 0.0, 2, 0.5, 2.0, 0.018747329711914062, 1.0
11, 100, 3, 0.0001, 0.00025, 2.5, 0.0, 4, 0.5, 4.0, 0.03220081329345703, 1.0, 0.0, 4, 0.5, 4.0, 0.01865220069885254, 1.0
12, 100, 3, 0.0001, 0.00025, 2.5, 0.01053864168618267, 854, 0.3454332552693209, 854.0, 0.0163419246673584, 0.5870646766169154, 0.0, 805, 0.35403726708074534, 805.0, 0.26911091804504395, 0.5894736842105264
13, 100, 3, 0.0001, 0.00025, 2.5, 0.016059957173447537, 934, 0.3511777301927195, 934.0, 0.01544809341430664, 0.5346534653465346, 0.004259850905218318, 939, 0.33759318423855167, 939.0, 0.3196532726287842, 0.51
14, 100, 3, 0.0001, 0.00025, 2.5, 0.012401352874859075, 887, 0.35174746335963925, 887.0, 0.015794754028320312, 0.5380710659898478, 0.0056947608200455585, 878, 0.34851936218678814, 878.0, 0.2455446720123291, 0.5217005217005217
15, 100, 3, 0.0001, 0.00025, 2.5, 0.0, 2, 0.5, 2.0, 0.013715267181396484, 1.0, 0.0, 2, 0.5, 2.0, 0.018314838409423828, 1.0
16, 100, 3, 0.0001, 0.00025, 2.5, 0.020202020202020204, 891, 0.3535353535353535, 891.0, 0.015961647033691406, 0.5247524752475248, 0.004489337822671156, 891, 0.3378226711560045, 891.0, 0.3551626205444336, 0.5125256673511294
17, 100, 3, 0.0001, 0.00025, 2.5, 0.012437810945273632, 804, 0.345771144278607, 804.0, 0.015900373458862305, 0.5454545454545454, 0.0024875621890547263, 804, 0.33582089552238803, 804.0, 0.34256672859191895, 0.5454545454545454
18, 100, 3, 0.0001, 0.00025, 2.5, 0.00641025641025641, 780, 0.34102564102564104, 780.0, 0.014959573745727539, 0.5051546391752577, 0.0, 714, 0.36274509803921573, 714.0, 0.258713960647583, 0.5193370165745856
19, 100, 3, 0.0001, 0.00025, 2.5, 0.0036719706242350062, 817, 0.3427172582619339, 817.0, 0.015572547912597656, 0.5208333333333334, 0.0, 806, 0.34367245657568235, 806.0, 0.24525094032287598, 0.5212765957446809
20, 100, 3, 0.0001, 0.00025, 2.5, 0.007052186177715092, 709, 0.3427362482369535, 709.0, 0.017516374588012695, 0.6237623762376238, 0.0028011204481792717, 714, 0.33613445378151263, 714.0, 0.3258481025695801, 0.6138613861386139
21, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.010040160642570281, 996, 0.34337349397590367, 996.0, 0.017611265182495117, 0.6039603960396039, 0.004016064257028112, 996, 0.3373493975903614, 996.0, 0.27802300453186035, 0.6030150753768845
22, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.013, 1000, 0.354, 1000.0, 0.016716718673706055, 0.517766497461929, 0.0039100684261974585, 1023, 0.3372434017595308, 1023.0, 0.2933778762817383, 0.5196078431372549
23, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.021400778210116732, 1028, 0.357976653696498, 1028.0, 0.016385793685913086, 0.5643564356435644, 0.009633911368015413, 1038, 0.34296724470134876, 1038.0, 0.290724515914917, 0.5507246376811594
24, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.011727078891257996, 938, 0.3539445628997868, 938.0, 0.01619410514831543, 0.5435897435897437, 0.006230529595015576, 963, 0.33956386292834895, 963.0, 0.30033445358276367, 0.5373134328358209
25, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.01875, 960, 0.3520833333333333, 960.0, 0.016106605529785156, 0.5714285714285714, 0.00625, 960, 0.33958333333333335, 960.0, 0.28712010383605957, 0.5784313725490196
26, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.024793388429752067, 968, 0.36363636363636365, 968.0, 0.016104936599731445, 0.5050505050505051, 0.012195121951219513, 984, 0.3455284552845529, 984.0, 0.32790470123291016, 0.5247524752475248
27, 100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.027281279397930385, 1063, 0.36312323612417685, 1063.0, 0.01680922508239746, 0.53, 0.01680672268907563, 1071, 0.35014005602240894, 1071.0, 0.30511021614074707, 0.5392156862745098
