n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, clique_f1, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime, approx_diff_f1
1000, 5, 1e-11, 2e-11, 2.0, 0.0009220828829957135, 25476.9, 0.43632491616291724, 25476.9, 0.6149411201477051, 0.5109844040803353, 7.013305387963581e-05, 24479.6, 0.4528582308859778, 24479.6, 3.541879940032959, 0.5131987631983776
1000, 5, 1e-11, 2.4999999999999998e-11, 2.5, 0.0020242612845726956, 31722.8, 0.44067525547547254, 31722.8, 0.6966862678527832, 0.5132163195844898, 0.000313488660758526, 31870.5, 0.4380470457988166, 31870.5, 4.498365712165833, 0.5137946584186979
1000, 5, 1e-11, 3e-11, 3.0, 0.0026337064160164205, 37901.4, 0.4447368012208345, 37901.4, 0.8642707109451294, 0.5174950842807227, 0.0006905218324737455, 38020.6, 0.4424766088168343, 38020.6, 5.526925063133239, 0.5160552213071474
1000, 5, 1e-11, 3.4999999999999995e-11, 3.5, 0.0035021079558570805, 44310.3, 0.4471842043342746, 44310.3, 0.9827615261077881, 0.5131639948566913, 0.001052678688298105, 44450.4, 0.44484955048741065, 44450.4, 6.4724280834198, 0.5111659916729676
1000, 5, 1e-11, 4e-11, 4.0, 0.004172075876378146, 50525.5, 0.45079822581096024, 50525.5, 1.1239784240722657, 0.5154748997413118, 0.0015999497565618486, 50897.5, 0.4467620873441262, 50897.5, 7.404547929763794, 0.5137240129070921
1000, 5, 1e-11, 4.5e-11, 4.5, 0.0045242148535508545, 56457.3, 0.4518992387517484, 56457.3, 1.2418928623199463, 0.5179010873484549, 0.0018775445272219444, 56763, 0.4487101910045086, 56763.0, 8.389101791381837, 0.5175529768386496
1000, 5, 1e-11, 4.9999999999999995e-11, 5.0, 0.005347441805017927, 62684.7, 0.45261323248763186, 62684.7, 1.3856580972671508, 0.5227070688619805, 0.00235971391460038, 62696.5, 0.45118516886111376, 62696.5, 9.35589554309845, 0.5229974268409704
1000, 5, 1e-11, 5.5e-11, 5.5, 0.005826916518300751, 68885, 0.45633057295324053, 68885.0, 1.4925649642944336, 0.5162599174133625, 0.0028432895918109142, 69251.5, 0.4529434406636546, 69251.5, 10.407466530799866, 0.5140082078071164
1000, 5, 1e-11, 6e-11, 6.0, 0.006268370676007363, 75299, 0.45660625957335854, 75299.0, 1.615929865837097, 0.5250103725927824, 0.003367434082397398, 75543, 0.45441743813964985, 75543.0, 11.395531344413758, 0.5245856033702428
1000, 5, 1e-11, 6.5e-11, 6.5, 0.006825978322101704, 81369.3, 0.45873785264872746, 81369.3, 1.7454039812088014, 0.5156961098422761, 0.003848559406997479, 81721.4, 0.45575333941206825, 81721.4, 12.283862280845643, 0.5150546675395697
