n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, diff_hyp_bipart, diff_hyp_vol, diff_clique_bipart, diff_clique_vol, diff_runtime, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime
100, 3, 0.0001, 0.00019, 1.9000000000000001, 0.0006964006259780908, 148.5, 0.46492175273865416, 148.5, 0.022209978103637694, 0.0002777777777777778, 143.4, 0.46936778766897463, 143.4, 8.107161712646484, 0.0002777777777777778, 142.6, 0.46936778766897463, 142.6, 0.09930744171142578
100, 3, 0.0001, 0.0002, 2.0, 0.0020191841152539846, 276.8, 0.43535251744858733, 276.8, 0.01690988540649414, 0.0, 254.5, 0.44430709315412176, 254.5, 15.92719807624817, 0.0, 255.6, 0.4441427731016958, 255.6, 0.17546696662902833
100, 3, 0.0001, 0.00021, 2.1, 0.001248550822831504, 287.7, 0.43670969414170463, 287.7, 0.017066454887390135, 0.0002544529262086514, 272.2, 0.4435156937575651, 272.2, 12.673103857040406, 0.0002544529262086514, 274.9, 0.44217539772124237, 274.9, 0.1551133632659912
100, 3, 0.0001, 0.00022000000000000003, 2.2, 0.0036350189873515645, 440.6, 0.404206321997679, 440.6, 0.016864013671875, 0.0002677376171352075, 420.8, 0.41021781746349956, 420.8, 19.440519189834596, 0.0002677376171352075, 421.3, 0.40997591835543434, 421.3, 0.21602904796600342
100, 3, 0.0001, 0.00023000000000000003, 2.3000000000000003, 0.005627151312046304, 544.5, 0.38896048464537963, 544.5, 0.01670866012573242, 0.001173692080373301, 523.9, 0.3943474811013538, 523.9, 22.21295292377472, 0.0009249358614678284, 519.9, 0.3958439255805286, 519.9, 0.2495891571044922
100, 3, 0.0001, 0.00024000000000000006, 2.4000000000000004, 0.005883277124308095, 710.7, 0.36024726865407175, 710.7, 0.016983556747436523, 0.0012359967225651833, 689.6, 0.3650455274710364, 689.6, 30.004925704002382, 0.0011393346275524693, 684.7, 0.3668800156698944, 684.7, 0.3259930372238159
100, 3, 0.0001, 0.00025, 2.5, 0.0072336968532182465, 745.7, 0.36014714421545524, 745.7, 0.016904997825622558, 0.003531218979142206, 744.4, 0.3571421533737608, 744.4, 26.51435253620148, 0.003531218979142206, 744.4, 0.3571421533737608, 744.4, 0.3012110710144043
100, 3, 0.0001, 0.00026000000000000003, 2.6, 0.011346735969775715, 858.4, 0.3476904501858943, 858.4, 0.01772761344909668, 0.004677812738350253, 864.6, 0.33871537142379626, 864.6, 31.12111575603485, 0.004677812738350253, 864.6, 0.33871537142379626, 864.6, 0.3544974088668823
100, 3, 0.0001, 0.00027000000000000006, 2.7, 0.009820041577200771, 878.3, 0.346635376167881, 878.3, 0.017226266860961913, 0.0032219689054282653, 865.9, 0.34529123268195955, 865.9, 31.758604741096498, 0.002434145803865053, 866.7, 0.34420243140131435, 866.7, 0.35699944496154784
100, 3, 0.0001, 0.00028000000000000003, 2.8000000000000003, 0.008539973356665577, 551.5, 0.410899976228647, 551.5, 0.01675107479095459, 0.00428661333900374, 552.5, 0.40605966298439383, 552.5, 17.057052326202392, 0.004348079060043929, 557.9, 0.40434807906004394, 557.9, 0.2040118932723999
100, 3, 0.0001, 0.00029000000000000006, 2.9000000000000004, 0.016281911385558734, 985.2, 0.3531702680059009, 985.2, 0.017625975608825683, 0.006865815019216864, 992.8, 0.34106064603313335, 992.8, 29.103756308555603, 0.006944396607294175, 995.4, 0.3402777299406275, 995.4, 0.32829647064208983
100, 3, 0.0001, 0.00030000000000000003, 3.0, 0.015767887728254236, 874.9, 0.3716802069027155, 874.9, 0.017472171783447267, 0.00449404784902292, 893.5, 0.3547285537116695, 893.5, 26.73958315849304, 0.004698101484236399, 892.9, 0.3551362545007514, 892.9, 0.30166211128234866
100, 3, 0.0001, 0.00031, 3.1, 0.014272556436446503, 893.8, 0.3684333716081477, 893.8, 0.017481112480163576, 0.006008654849988102, 907.4, 0.3560086548499881, 907.4, 24.184022641181947, 0.006008654849988102, 907.4, 0.3560086548499881, 907.4, 0.2963587284088135
100, 3, 0.0001, 0.00032, 3.2, 0.021029983752440442, 1076.8, 0.35730849396137726, 1076.8, 0.018533992767333984, 0.009463924893968481, 1083.4, 0.34392338435342795, 1083.4, 28.74154136180878, 0.00868955434464274, 1084.6, 0.3426860941370303, 1084.6, 0.3831268072128296
100, 3, 0.0001, 0.00033000000000000005, 3.3000000000000003, 0.020774662493764393, 1068.5, 0.35908690871866816, 1068.5, 0.01878523826599121, 0.00826086808196113, 1085.1, 0.34159420141529445, 1085.1, 27.01856896877289, 0.008093894382988564, 1083.3, 0.341896711284397, 1083.3, 0.3354737997055054
100, 3, 0.0001, 0.0003400000000000001, 3.4000000000000004, 0.017553436432256195, 1094.5, 0.3523572142738328, 1094.5, 0.01822226047515869, 0.009137441964083585, 1095.7, 0.34350413815540337, 1095.7, 28.800024890899657, 0.00825149092323076, 1096.1, 0.3425784140001538, 1096.1, 0.3561850070953369
100, 3, 0.0001, 0.00035, 3.5, 0.018987829652344166, 1102.4, 0.3569962765167215, 1102.4, 0.018938422203063965, 0.009224309788327821, 1116.2, 0.3434398107335074, 1116.2, 28.66840410232544, 0.009408981995160694, 1116.2, 0.34362448294034026, 1116.2, 0.3535700798034668
100, 3, 0.0001, 0.00036, 3.6, 0.018986065546733093, 1137.6, 0.35480780711071613, 1137.6, 0.01895742416381836, 0.012654677026950277, 1146.3, 0.3459880103602836, 1146.3, 27.411626768112182, 0.012410887092847543, 1141.8, 0.3470919293210596, 1141.8, 0.34725377559661863
100, 3, 0.0001, 0.00037000000000000005, 3.7, 0.024611014979005523, 1211.1, 0.3605803056776934, 1211.1, 0.019431114196777344, 0.013225433096226414, 1220.7, 0.34655876642955974, 1220.7, 30.338734841346742, 0.0127207596224318, 1220.7, 0.3460540929557651, 1220.7, 0.38263251781463625
100, 3, 0.0001, 0.00038, 3.8000000000000003, 0.023105500322646303, 1173, 0.3602964126759413, 1173.0, 0.019793701171875, 0.013437191541312758, 1186.5, 0.3467705248746461, 1186.5, 28.134090113639832, 0.012929518907041658, 1186.5, 0.346262852240375, 1186.5, 0.3710229158401489
100, 3, 0.0001, 0.00039000000000000005, 3.9000000000000004, 0.026717299933615928, 1228.9, 0.3626518318558203, 1228.9, 0.020390868186950684, 0.014957161623321771, 1238.4, 0.3482904949566551, 1238.4, 34.43862948417664, 0.014969324495956877, 1238.4, 0.3483026578292902, 1238.4, 0.4047256946563721
100, 3, 0.0001, 0.0004, 4.0, 0.02811906599639811, 1265.2, 0.3663399389912289, 1265.2, 0.023036980628967287, 0.015830079751191908, 1282.4, 0.3495134400096733, 1282.4, 30.384761333465576, 0.015197795368907524, 1282.4, 0.3488811556273889, 1282.4, 0.36679563522338865
100, 3, 0.0001, 0.0004100000000000001, 4.1000000000000005, 0.027195249435551815, 1307.8, 0.3628223819802143, 1307.8, 0.020268774032592772, 0.01585441786475603, 1317, 0.34918775119808937, 1317.0, 31.670287132263184, 0.015701161159775184, 1317, 0.3490344944931085, 1317.0, 0.3859790086746216
100, 3, 0.0001, 0.00042, 4.2, 0.027127928382075152, 1343, 0.3620941102787485, 1343.0, 0.021145391464233398, 0.017071967746740628, 1349.4, 0.35040530108007395, 1349.4, 28.53268930912018, 0.016758131056277756, 1349.4, 0.3500914643896111, 1349.4, 0.3715875864028931
100, 3, 0.0001, 0.00043, 4.3, 0.02726396335196571, 1355.2, 0.363536901671324, 1355.2, 0.021334338188171386, 0.015642024032516678, 1364.6, 0.3497025447925448, 1364.6, 32.396118903160094, 0.015386140065420826, 1368, 0.34871947339875414, 1368.0, 0.4137218475341797
100, 3, 0.0001, 0.00044000000000000007, 4.4, 0.031286435908522994, 1368.1, 0.3665571759100679, 1368.1, 0.020689177513122558, 0.02015163342826856, 1375.6, 0.3536872935193156, 1375.6, 29.051950097084045, 0.019636545704507315, 1373.3, 0.3537425007957979, 1373.3, 0.359667706489563
100, 3, 0.0001, 0.00045000000000000004, 4.5, 0.028396637700284763, 1388.9, 0.36513372118200166, 1388.9, 0.02081637382507324, 0.016831776057082526, 1403.1, 0.35016510939041584, 1403.1, 28.82876851558685, 0.016647045859858975, 1401.3, 0.3504114136759509, 1401.3, 0.37948358058929443
100, 3, 0.0001, 0.00046000000000000007, 4.6000000000000005, 0.03106902745312298, 1458.5, 0.3674629686546486, 1458.5, 0.021379256248474122, 0.019404504034703673, 1471.8, 0.352737837368037, 1471.8, 30.98747036457062, 0.0192762549572501, 1471.8, 0.3526095882905834, 1471.8, 0.41220932006835936
