,strDrink,strAlcoholic,strCategory,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
216,Danbooka,Alcoholic,Coffee / Tea,Coffee,Everclear,,,,,,,,,,,,,
217,Dark Caipirinha,Alcoholic,Cocktail,demerara Sugar,Lime,Cachaca,,,,,,,,,,,,
218,Dark and Stormy,Alcoholic,Ordinary Drink,Dark Rum,Ginger Beer,,,,,,,,,,,,,
219,Darkwood Sling,Alcoholic,Soft Drink / Soda,Cherry Heering,Soda water,Orange juice,Ice,,,,,,,,,,,
220,Derby,Alcoholic,Ordinary Drink,gin,Peach Bitters,Mint,,,,,,,,,,,,
221,Diesel,Alcoholic,Beer,Lager,Cider,Blackcurrant cordial,,,,,,,,,,,,
222,Dirty Martini,Alcoholic,Cocktail,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,
223,Dirty Nipple,Alcoholic,Shot,Kahlua,Sambuca,Bailey's irish cream,,,,,,,,,,,,
224,Downshift,Alcoholic,Punch / Party Drink,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,,,,,
225,Dragonfly,Alcoholic,Ordinary Drink,Gin,Ginger ale,Lime,,,,,,,,,,,,
226,Drinking Chocolate,Non alcoholic,Cocoa,Heavy cream,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,,,,,,,
227,Dry Rob Roy,Alcoholic,Ordinary Drink,Scotch,Dry Vermouth,Lemon peel,,,,,,,,,,,,
228,Dubonnet Cocktail,Alcoholic,Ordinary Drink,Dubonnet Rouge,Gin,Bitters,Lemon peel,,,,,,,,,,,
229,Duchamp's Punch,Alcoholic,Cocktail,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,,,,,
230,Egg Cream,Non alcoholic,Other/Unknown,Chocolate syrup,Milk,Soda water,,,,,,,,,,,,
231,Egg Nog #4,Optional alcohol,Punch / Party Drink,Egg yolk,Sugar,Milk,Light rum,Bourbon,Vanilla extract,Salt,Whipping cream,Egg white,Sugar,Nutmeg,,,,
232,Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,Egg,Sugar,Condensed milk,Milk,Vanilla extract,Rum,Nutmeg,,,,,,,,
233,Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,Egg,Sugar,Salt,Milk,Vanilla extract,,,,,,,,,,
234,English Highball,Alcoholic,Ordinary Drink,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,,,,,,
235,English Rose Cocktail,Alcoholic,Ordinary Drink,Apricot brandy,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,,,,,,
236,Espresso Martini,Alcoholic,Cocktail,Vodka,Kahlua,Sugar syrup,,,,,,,,,,,,
237,Fahrenheit 5000,Alcoholic,Shot,Firewater,Absolut Peppar,Tabasco sauce,,,,,,,,,,,,
238,Flaming Dr. Pepper,Alcoholic,Shot,Amaretto,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,,,,,,
239,Flaming Lamborghini,Alcoholic,Cocktail,Kahlua,Sambuca,Blue Curacao,Bailey's irish cream,,,,,,,,,,,
240,Flander's Flake-Out,Alcoholic,Ordinary Drink,Sambuca,Sarsaparilla,,,,,,,,,,,,,
241,Flying Dutchman,Alcoholic,Ordinary Drink,Gin,Triple sec,,,,,,,,,,,,,
242,Flying Scotchman,Alcoholic,Ordinary Drink,Scotch,Sweet Vermouth,Bitters,Sugar syrup,,,,,,,,,,,
243,Foxy Lady,Alcoholic,Ordinary Drink,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,
244,Frappé,Non alcoholic,Coffee / Tea,Coffee,Milk,Sugar,,,,,,,,,,,,
245,Freddy Kruger,Alcoholic,Shot,Jägermeister,Sambuca,Vodka,,,,,,,,,,,,
246,"French ""75""",Alcoholic,Ordinary Drink,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,
247,French 75,Alcoholic,Ordinary Drink,Gin,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,,,,,,
248,French Connection,Alcoholic,Ordinary Drink,Cognac,Amaretto,,,,,,,,,,,,,
249,French Martini,Alcoholic,Cocktail,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,
250,Frisco Sour,Alcoholic,Ordinary Drink,Blended whiskey,Benedictine,Lemon,Lime,Lemon,Lime,,,,,,,,,
251,Frozen Daiquiri,Alcoholic,Ordinary Drink,Light rum,Triple sec,Lime juice,Sugar,Cherry,Ice,,,,,,,,,
252,Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Light rum,Lime juice,Mint,Sugar,,,,,,,,,,,
253,Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Light rum,Pineapple,Lime juice,Sugar,,,,,,,,,,,
254,Fruit Cooler,Non alcoholic,Other/Unknown,Apple juice,Strawberries,Sugar,Lemon,Apple,Soda water,Ice,,,,,,,,
255,Fruit Flip-Flop,Non alcoholic,Other/Unknown,Yoghurt,Fruit juice,,,,,,,,,,,,,
256,Fruit Shake,Non alcoholic,Other/Unknown,Yoghurt,Banana,Orange juice,Fruit,Ice,,,,,,,,,,
257,Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee,Peach schnapps,,,,,,,,,,,,,
258,GG,Optional alcohol,Ordinary Drink,Galliano,Ginger ale,Ice,,,,,,,,,,,,
259,Gagliardo,Alcoholic,Cocktail,Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,,,,,,
260,Gentleman's Club,Alcoholic,Ordinary Drink,Gin,Brandy,Sweet Vermouth,Club soda,,,,,,,,,,,
261,Gideon's Green Dinosaur,Alcoholic,Ordinary Drink,Dark rum,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,,,,,,,
262,Gin And Tonic,Alcoholic,Ordinary Drink,Gin,Tonic water,Lime,,,,,,,,,,,,
263,Gin Cooler,Alcoholic,Ordinary Drink,Gin,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,
264,Gin Daisy,Alcoholic,Ordinary Drink,Gin,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,,,,,,,
265,Gin Fizz,Alcoholic,Ordinary Drink,Gin,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,
266,Gin Rickey,Alcoholic,Cocktail,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,,,,,
267,Gin Sling,Alcoholic,Ordinary Drink,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,
268,Gin Smash,Alcoholic,Ordinary Drink,Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,
269,Gin Sour,Alcoholic,Ordinary Drink,Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,
270,Gin Squirt,Alcoholic,Ordinary Drink,Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,,,,,
271,Gin Swizzle,Alcoholic,Ordinary Drink,Lime juice,Sugar,Gin,Bitters,Club soda,,,,,,,,,,
272,Gin Toddy,Alcoholic,Ordinary Drink,Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,
273,Girl From Ipanema,Alcoholic,Ordinary Drink,Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,,,,,,
274,Gluehwein,Optional alcohol,Punch / Party Drink,Red wine,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,,,,,,,
275,Godchild,Alcoholic,Ordinary Drink,Vodka,Amaretto,Heavy cream,,,,,,,,,,,,
276,Godfather,Alcoholic,Ordinary Drink,Scotch,Amaretto,,,,,,,,,,,,,
277,Godmother,Alcoholic,Ordinary Drink,Vodka,Amaretto,,,,,,,,,,,,,
278,Golden dream,Alcoholic,Ordinary Drink,Galliano,Triple Sec,orange juice,Cream,,,,,,,,,,,
279,Grand Blue,Alcoholic,Ordinary Drink,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,,,,,,
280,Grape lemon pineapple Smoothie,Non alcoholic,Other/Unknown,Grapes,Lemon,Pineapple,,,,,,,,,,,,
281,Grass Skirt,Alcoholic,Ordinary Drink,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,,,,,
282,Grasshopper,Alcoholic,Ordinary Drink,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,,,,,
283,Green Goblin,Alcoholic,Beer,Cider,Lager,Blue Curacao,,,,,,,,,,,,
284,Grim Reaper,Alcoholic,Ordinary Drink,Kahlua,151 proof rum,Grenadine,,,,,,,,,,,,
285,Grizzly Bear,Alcoholic,Ordinary Drink,Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,,,
286,H.D.,Alcoholic,Coffee / Tea,Whisky,Bailey's irish cream,Coffee,,,,,,,,,,,,
287,Happy Skipper,Alcoholic,Ordinary Drink,Spiced rum,Ginger ale,Lime,Ice,,,,,,,,,,,
288,Harvey Wallbanger,Alcoholic,Ordinary Drink,Vodka,Galliano,Orange juice,,,,,,,,,,,,
289,Havana Cocktail,Alcoholic,Ordinary Drink,Light rum,Pineapple juice,Lemon juice,,,,,,,,,,,,
290,Hawaiian Cocktail,Alcoholic,Ordinary Drink,Gin,Triple sec,Pineapple juice,,,,,,,,,,,,
291,Hemingway Special,Alcoholic,Ordinary Drink,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,,,
292,Herbal flame,Alcoholic,Coffee / Tea,Hot Damn,Tea,,,,,,,,,,,,,
293,Highland Fling Cocktail,Alcoholic,Ordinary Drink,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,,,,
294,Holloween Punch,Non alcoholic,Punch / Party Drink,Grape juice,Carbonated soft drink,Sherbet,Sherbet,,,,,,,,,,,
295,Homemade Kahlua,Alcoholic,Homemade Liqueur,Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,,,,,,
296,Horse's Neck,Alcoholic,Ordinary Drink,Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,,,,,
297,Hot Chocolate to Die for,Non alcoholic,Cocoa,Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,,,,,,
298,Hot Creamy Bush,Alcoholic,Coffee / Tea,Irish whiskey,Bailey's irish cream,Coffee,,,,,,,,,,,,
299,Ice Pick #1,Alcoholic,Ordinary Drink,Vodka,Iced tea,Lemon juice,,,,,,,,,,,,
300,Iced Coffee,Non alcoholic,Coffee / Tea,Coffee,Sugar,Water,Milk,,,,,,,,,,,
301,Iced Coffee Fillip,Alcoholic,Coffee / Tea,Kahlua,Coffee,,,,,,,,,,,,,
302,Imperial Cocktail,Alcoholic,Cocktail,Lime juice,Gin,Aperol,,,,,,,,,,,,
303,Imperial Fizz,Alcoholic,Ordinary Drink,Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,
304,Ipamena,Non Alcoholic,Ordinary Drink,Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,,,,,,
305,Irish Coffee,Alcoholic,Coffee / Tea,Irish whiskey,Coffee,Sugar,Whipped cream,,,,,,,,,,,
306,Irish Cream,Alcoholic,Homemade Liqueur,Scotch,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,,,,,,
307,Irish Curdling Cow,Alcoholic,Cocktail,Bailey's irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,
308,Irish Russian,Alcoholic,Beer,Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,,,
309,Irish Spring,Alcoholic,Ordinary Drink,Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,,,,,,
310,Jack Rose Cocktail,Alcoholic,Ordinary Drink,Apple brandy,Grenadine,Lime,,,,,,,,,,,,
311,Jack's Vanilla Coke,Alcoholic,Other/Unknown,Ice,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,,,,,,
312,Jackhammer,Alcoholic,Ordinary Drink,Jack Daniels,Amaretto,,,,,,,,,,,,,
313,Jam Donut,Alcoholic,Shot,Baileys irish cream,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,,,,,,
314,Jamaica Kiss,Alcoholic,Milk / Float / Shake,Coffee liqueur,Light rum,Ice,Milk,,,,,,,,,,,
315,Jamaican Coffee,Alcoholic,Coffee / Tea,Rum,Coffee,Water,Whipped cream,,,,,,,,,,,
316,Japanese Fizz,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,,,,,,
317,Jello shots,Alcoholic,Shot,Vodka,Jello,Water,,,,,,,,,,,,
318,Jelly Bean,Alcoholic,Shot,Blackberry brandy,Anis,,,,,,,,,,,,,
319,Jewel Of The Nile,Alcoholic,Ordinary Drink,Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,
320,Jitterbug,Alcoholic,Cocktail,Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,
321,John Collins,Alcoholic,Ordinary Drink,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,
322,Just a Moonmint,Non alcoholic,Milk / Float / Shake,Milk,Chocolate syrup,Mint syrup,,,,,,,,,,,,
323,Kamikaze,Alcoholic,Ordinary Drink,Vodka,Triple sec,Lime juice,,,,,,,,,,,,
324,Karsk,Alcoholic,Ordinary Drink,Coffee,Grain alcohol,,,,,,,,,,,,,
325,Kentucky B And B,Alcoholic,Ordinary Drink,Bourbon,Benedictine,,,,,,,,,,,,,
326,Kentucky Colonel,Alcoholic,Ordinary Drink,Bourbon,Benedictine,Lemon peel,,,,,,,,,,,,
327,Kill the cold Smoothie,Non alcoholic,Other/Unknown,Ginger,Lemon,Water,,,,,,,,,,,,
328,Kioki Coffee,Alcoholic,Coffee / Tea,Kahlua,Brandy,Coffee,,,,,,,,,,,,
329,Kir,Alcoholic,Ordinary Drink,Creme de Cassis,Champagne,,,,,,,,,,,,,
330,Kir Royale,Alcoholic,Ordinary Drink,Creme de Cassis,Champagne,,,,,,,,,,,,,
331,Kiss me Quick,Alcoholic,Ordinary Drink,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,,,,,,
332,Kiwi Lemon,Alcoholic,Ordinary Drink,Kiwi liqueur,Bitter lemon,Ice,,,,,,,,,,,,
333,Kiwi Papaya Smoothie,Non alcoholic,Other/Unknown,Kiwi,Papaya,,,,,,,,,,,,,
334,Kool First Aid,Alcoholic,Shot,151 proof rum,Kool-Aid,,,,,,,,,,,,,
335,Kool-Aid Shot,Alcoholic,Shot,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,,,,,,
336,Kool-Aid Slammer,Alcoholic,Shot,Kool-Aid,Vodka,,,,,,,,,,,,,
337,Kurant Tea,Alcoholic,Coffee / Tea,Absolut Kurant,Tea,Sugar,,,,,,,,,,,,
338,Lady Love Fizz,Alcoholic,Ordinary Drink,Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,,,,,,
339,Lassi - A South Indian Drink,Non alcoholic,Other/Unknown,Yoghurt,Water,Cumin seed,Salt,Mint,,,,,,,,,,
340,Lassi - Mango,Non alcoholic,Other/Unknown,Mango,Yoghurt,Sugar,Water,,,,,,,,,,,
341,Lassi - Sweet,Non alcoholic,Other/Unknown,Yoghurt,Water,Sugar,Salt,Lemon juice,,,,,,,,,,
342,Lassi Khara,Non alcoholic,Other/Unknown,Yoghurt,Water,Salt,Asafoetida,,,,,,,,,,,
343,Lassi Raita,Non alcoholic,Other/Unknown,Yoghurt,Ice,Sugar,Lime,Salt,,,,,,,,,,
344,Lemon Drop,Alcoholic,Cocktail,Absolut Vodka,Cointreau,Lemon,,,,,,,,,,,,
345,Lemon Shot,Alcoholic,Shot,Galliano,Absolut Citron,Lemon,Sugar,151 proof rum,,,,,,,,,,
346,Lemouroudji,Non alcoholic,Other/Unknown,Ginger,Water,Lemon,Sugar,Cayenne pepper,,,,,,,,,,
347,Limeade,Non alcoholic,Other/Unknown,Lime,Sugar,Soda water,Lime peel,,,,,,,,,,,
348,Limona Corona,Alcoholic,Beer,Corona,Bacardi Limon,,,,,,,,,,,,,
349,Loch Lomond,Alcoholic,Ordinary Drink,Scotch,Drambuie,Dry Vermouth,Lemon peel,,,,,,,,,,,
350,London Town,Alcoholic,Ordinary Drink,Gin,Maraschino liqueur,Orange bitters,,,,,,,,,,,,
351,Lone Tree Cocktail,Alcoholic,Ordinary Drink,Sweet Vermouth,Gin,,,,,,,,,,,,,
352,Lone Tree Cooler,Alcoholic,Ordinary Drink,Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,
353,Long Island Iced Tea,Alcoholic,Ordinary Drink,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,
354,Long Island Tea,Alcoholic,Ordinary Drink,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,
355,Long vodka,Alcoholic,Ordinary Drink,Vodka,Lime,Angostura bitters,Tonic water,Ice,,,,,,,,,,
356,Lord And Lady,Alcoholic,Ordinary Drink,Dark rum,Tia maria,,,,,,,,,,,,,
357,Lunch Box,Alcoholic,Beer,Beer,Amaretto,Orange juice,,,,,,,,,,,,
358,Mai Tai,Alcoholic,Ordinary Drink,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,,,,,,
359,Malibu Twister,Alcoholic,Cocktail,Malibu rum,Tropicana,Cranberry juice,,,,,,,,,,,,
360,Mango Orange Smoothie,Non alcoholic,Other/Unknown,Mango,Orange,,,,,,,,,,,,,
361,Manhattan,Alcoholic,Cocktail,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,,,,,
362,Margarita,Alcoholic,Ordinary Drink,Tequila,Triple sec,Lime juice,Salt,,,,,,,,,,,
363,Martinez Cocktail,Alcoholic,Cocktail,Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry,,,,,,,,,,
364,Martini,Alcoholic,Cocktail,Gin,Dry Vermouth,Olive,,,,,,,,,,,,
365,Mary Pickford,Alcoholic,Cocktail,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,,,,,,,,,
366,Masala Chai,Non alcoholic,Coffee / Tea,Water,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black pepper,Sugar,Milk,,,,,,
367,Melya,Non alcoholic,Coffee / Tea,Espresso,Honey,Cocoa powder,,,,,,,,,,,,
368,Miami Vice,Alcoholic,Cocktail,151 proof rum,Pina colada mix,Daiquiri mix,,,,,,,,,,,,
369,Microwave Hot Cocoa,Non alcoholic,Cocoa,Sugar,Cocoa powder,Salt,Water,Milk,Vanilla extract,,,,,,,,,
370,Midnight Cowboy,Alcoholic,Ordinary Drink,Bourbon,Dark rum,Heavy cream,,,,,,,,,,,,
371,Midnight Manx,Alcoholic,Ordinary Drink,Kahlua,Bailey's irish cream,Goldschlager,Heavy cream,Coffee,,,,,,,,,,
372,Midnight Mint,Alcoholic,Cocktail,Bailey's irish cream,White Creme de Menthe,Cream,,,,,,,,,,,,
373,Mimosa,Alcoholic,Ordinary Drink,Champagne,Orange juice,,,,,,,,,,,,,
374,Mississippi Planters Punch,Alcoholic,Ordinary Drink,Brandy,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,,,,,,
375,Mocha-Berry,Alcoholic,Coffee / Tea,Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream,,,,,,,,,,,
376,Mojito,Alcoholic,Cocktail,Light rum,Lime,Sugar,Mint,Soda water,,,,,,,,,,
377,Mojito #3,Alcoholic,Cocktail,Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,,,,,,
378,Monkey Gland,Alcoholic,Ordinary Drink,Gin,Benedictine,Orange juice,Grenadine,,,,,,,,,,,
379,Monkey Wrench,Alcoholic,Ordinary Drink,Light rum,Grapefruit juice,Bitters,,,,,,,,,,,,
380,Moranguito,Alcoholic,Shot,Absinthe,Tequila,Grenadine,,,,,,,,,,,,
381,Moscow Mule,Alcoholic,Punch / Party Drink,Vodka,Lime juice,Ginger ale,,,,,,,,,,,,
382,Mother's Milk,Alcoholic,Shot,Goldschlager,Butterscotch schnapps,Milk,,,,,,,,,,,,
383,Mudslinger,Alcoholic,Punch / Party Drink,Southern Comfort,Orange juice,Pepsi Cola,,,,,,,,,,,,
384,Mulled Wine,Alcoholic,Punch / Party Drink,Water,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,,,,,,,,
385,National Aquarium,Alcoholic,Ordinary Drink,Rum,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,,,,,,
386,Negroni,Alcoholic,Ordinary Drink,Gin,Campari,Sweet Vermouth,,,,,,,,,,,,
387,New York Lemonade,Alcoholic,Cocktail,Absolut Citron,Grand Marnier,Lemon juice,Club soda,,,,,,,,,,,
388,New York Sour,Alcoholic,Ordinary Drink,Blended whiskey,Lemon,Sugar,Red wine,Lemon,Cherry,,,,,,,,,
389,Nuked Hot Chocolate,Non alcoholic,Cocoa,Cocoa powder,Sugar,Vanilla extract,Milk,,,,,,,,,,,
390,Nutty Irishman,Alcoholic,Milk / Float / Shake,Bailey's irish cream,Frangelico,Milk,,,,,,,,,,,,
391,Old Fashioned,Alcoholic,Cocktail,Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,,,
392,Orange Crush,Alcoholic,Shot,Vodka,Triple sec,Orange juice,,,,,,,,,,,,
393,Orange Oasis,Alcoholic,Ordinary Drink,Cherry brandy,Gin,Orange juice,Ginger ale,,,,,,,,,,,
394,Orange Push-up,Alcoholic,Ordinary Drink,Spiced rum,Grenadine,Orange juice,Sour mix,,,,,,,,,,,
395,Orange Scented Hot Chocolate,Non alcoholic,Cocoa,Milk,Chocolate,Orange peel,Espresso,Nutmeg,,,,,,,,,,
396,Orange Whip,Alcoholic,Other/Unknown,Orange juice,Rum,Vodka,Cream,Ice,,,,,,,,,,
397,Orangeade,Non alcoholic,Cocktail,Lemon juice,Orange juice,Sugar syrup,Soda water,,,,,,,,,,,
398,Oreo Mudslide,Alcoholic,Ordinary Drink,Vodka,Kahlua,Bailey's irish cream,Vanilla ice-cream,Oreo cookie,,,,,,,,,,
399,Orgasm,Alcoholic,Ordinary Drink,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,,,,,,
400,Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,Whiskey,Beer,Lemonade,Ice,,,,,,,,,,,
401,Paradise,Alcoholic,Ordinary Drink,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,,,
402,Pina Colada,Alcoholic,Ordinary Drink,Light rum,Coconut milk,Pineapple,,,,,,,,,,,,
403,Pineapple Gingerale Smoothie,Non alcoholic,Other/Unknown,Ginger,Pineapple,,,,,,,,,,,,,
404,Pink Gin,Alcoholic,Ordinary Drink,Bitters,Gin,,,,,,,,,,,,,
405,Pink Lady,Alcoholic,Ordinary Drink,Gin,Grenadine,Light cream,Egg white,,,,,,,,,,,
406,Pink Panty Pulldowns,Alcoholic,Ordinary Drink,Sprite,Pink lemonade,Vodka,,,,,,,,,,,,
407,Pink Penocha,Alcoholic,Punch / Party Drink,Everclear,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,
408,Pisco Sour,Alcoholic,Cocktail,Pisco,Lemon juice,Sugar,Ice,,,,,,,,,,,
409,Planter's Punch,Alcoholic,Punch / Party Drink,Dark rum,Orgeat syrup,Orange juice,Pineapple juice,,,,,,,,,,,
410,Popped cherry,Alcoholic,Ordinary Drink,Vodka,Cherry liqueur,Cranberry juice,Orange juice,,,,,,,,,,,
411,Poppy Cocktail,Alcoholic,Ordinary Drink,Gin,Creme de Cacao,,,,,,,,,,,,,
412,Port And Starboard,Alcoholic,Ordinary Drink,Grenadine,Green Creme de Menthe,,,,,,,,,,,,,
413,Port Wine Cocktail,Alcoholic,Ordinary Drink,Port,Brandy,,,,,,,,,,,,,
414,Port Wine Flip,Alcoholic,Ordinary Drink,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,,,
415,Porto flip,Alcoholic,Ordinary Drink,Brandy,Port,Egg Yolk,,,,,,,,,,,,
416,Pysch Vitamin Light,Non alcoholic,Ordinary Drink,Orange juice,Apple juice,Pineapple juice,Ice,,,,,,,,,,,
417,Quaker's Cocktail,Alcoholic,Ordinary Drink,Light rum,Brandy,Lemon,Raspberry syrup,,,,,,,,,,,
418,Quarter Deck Cocktail,Alcoholic,Ordinary Drink,Light rum,Sherry,Lime,,,,,,,,,,,,
419,Queen Bee,Alcoholic,Ordinary Drink,Coffee brandy,Lime vodka,Sherry,,,,,,,,,,,,
420,Queen Charlotte,Alcoholic,Ordinary Drink,Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,,,
421,Queen Elizabeth,Alcoholic,Ordinary Drink,Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,
422,Quentin,Alcoholic,Ordinary Drink,Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,,,
423,Quick F**K,Alcoholic,Shot,Kahlua,Midori melon liqueur,Bailey's irish cream,,,,,,,,,,,,
424,Quick-sand,Alcoholic,Ordinary Drink,Black Sambuca,Orange juice,,,,,,,,,,,,,
425,Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,
426,Radler,Alcoholic,Ordinary Drink,Beer,7-Up,,,,,,,,,,,,,
427,Rail Splitter,Non alcoholic,Cocktail,Sugar syrup,Lemon juice,Ginger ale,,,,,,,,,,,,
428,Raspberry Cooler,Alcoholic,Other/Unknown,Raspberry vodka,Lemon-lime soda,Ice,,,,,,,,,,,,
429,Red Snapper,Alcoholic,Shot,Crown Royal,Amaretto,Cranberry juice,,,,,,,,,,,,
430,Rose,Alcoholic,Ordinary Drink,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,,,
431,Royal Bitch,Alcoholic,Shot,Frangelico,Crown Royal,,,,,,,,,,,,,
432,Royal Fizz,Alcoholic,Ordinary Drink,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,,,
433,Royal Flush,Alcoholic,Shot,Crown Royal,Peach schnapps,Chambord raspberry liqueur,Cranberry juice,,,,,,,,,,,
434,Royal Gin Fizz,Alcoholic,Ordinary Drink,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,
435,Ruby Tuesday,Alcoholic,Cocktail,Gin,Cranberry juice,Grenadine,,,,,,,,,,,,
436,Rum Cobbler,Alcoholic,Ordinary Drink,Sugar,Club soda,Lemon,Dark rum,Maraschino cherry,Orange,,,,,,,,,
437,Rum Cooler,Alcoholic,Ordinary Drink,Rum,Lemon-lime soda,Lemon,,,,,,,,,,,,
438,Rum Milk Punch,Alcoholic,Ordinary Drink,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,,,
439,Rum Old-fashioned,Alcoholic,Ordinary Drink,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,,,,,,,,,
440,Rum Punch,Alcoholic,Punch / Party Drink,Rum,Ginger ale,Fruit punch,Orange juice,Ice,,,,,,,,,,
441,Rum Runner,Alcoholic,Punch / Party Drink,Malibu rum,Blackberry brandy,Orange juice,Pineapple juice,Cranberry juice,,,,,,,,,,
442,Rum Screwdriver,Alcoholic,Ordinary Drink,Light rum,Orange juice,,,,,,,,,,,,,
