run_id,configuration_id,vertices,edge_multiplier,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
1,1,100,2,200,3,0.03666666666666667,600,0.13651204109191895,0.006666666666666667,600,1.7492599487304688
2,1,100,2,200,3,0.03333333333333333,600,0.1345963478088379,0.025380710659898477,591,2.37200665473938
3,1,100,2,200,3,0.03691275167785235,596,0.1508173942565918,0.016666666666666666,600,1.9536759853363037
4,1,100,2,200,3,0.013333333333333334,600,0.13441967964172363,0.006666666666666667,600,1.479783058166504
5,1,100,2,200,3,0.017123287671232876,584,0.14513397216796875,0.01,600,1.9561810493469238
6,1,100,2,200,3,0.039723661485319514,579,0.1427290439605713,0.01,600,2.0913610458374023
7,1,100,2,200,3,0.048903878583473864,593,0.13616394996643066,0.013333333333333334,600,1.4600298404693604
8,1,100,2,200,3,0.04666666666666667,600,0.13561582565307617,0.03,600,1.59425950050354
9,1,100,2,200,3,0.03666666666666667,600,0.13273334503173828,0.023333333333333334,600,1.482818365097046
10,1,100,2,200,3,0.04671280276816609,578,0.1323845386505127,0.01,600,2.178065061569214
11,2,100,3,300,3,0.0417607223476298,886,0.19377350807189941,0.037162162162162164,888,1.6714012622833252
12,2,100,3,300,3,0.06,900,0.19219231605529785,0.024444444444444446,900,3.9963648319244385
13,2,100,3,300,3,0.044444444444444446,900,0.19308876991271973,0.035555555555555556,900,1.4101355075836182
14,2,100,3,300,3,0.06200676437429538,887,0.19607210159301758,0.04666666666666667,900,1.8600454330444336
15,2,100,3,300,3,0.044444444444444446,900,0.1921548843383789,0.04,900,1.4530844688415527
16,2,100,3,300,3,0.03777777777777778,900,0.19459319114685059,0.028888888888888888,900,1.8922359943389893
17,2,100,3,300,3,0.056818181818181816,880,0.19304728507995605,0.042222222222222223,900,2.072978973388672
18,2,100,3,300,3,0.04,900,0.19228816032409668,0.02666666666666667,900,1.4382107257843018
19,2,100,3,300,3,0.03932584269662921,890,0.19092321395874023,0.03333333333333333,900,1.8673303127288818
20,2,100,3,300,3,0.04666666666666667,900,0.21143531799316406,0.03333333333333333,900,1.5516555309295654
21,3,100,4,400,3,0.07,1200,0.24905610084533691,0.058333333333333334,1200,2.0015790462493896
22,3,100,4,400,3,0.065,1200,0.2477412223815918,0.04833333333333333,1200,2.6198301315307617
23,3,100,4,400,3,0.043333333333333335,1200,0.2536158561706543,0.03333333333333333,1200,2.381294012069702
24,3,100,4,400,3,0.07319148936170213,1175,0.2470991611480713,0.06,1200,2.9853615760803223
25,3,100,4,400,3,0.05499153976311337,1182,0.2489776611328125,0.04,1200,2.608480453491211
26,3,100,4,400,3,0.07333333333333333,1200,0.2507622241973877,0.04666666666666667,1200,2.1448299884796143
27,3,100,4,400,3,0.06,1200,0.25101423263549805,0.04666666666666667,1200,4.041180610656738
28,3,100,4,400,3,0.05,1200,0.2506847381591797,0.045,1200,1.608032464981079
29,3,100,4,400,3,0.07333333333333333,1200,0.2600438594818115,0.04666666666666667,1200,2.057983160018921
30,3,100,4,400,3,0.058333333333333334,1200,0.25013256072998047,0.04666666666666667,1200,2.830838680267334
31,4,200,2,400,3,0.019591141396933562,1174,0.7515294551849365,0.017918088737201365,1172,4.938908100128174
32,4,200,2,400,3,0.023333333333333334,1200,0.7325308322906494,0.011666666666666667,1200,4.772063970565796
33,4,200,2,400,3,0.03484320557491289,1148,0.7465641498565674,0.018333333333333333,1200,4.219839334487915
34,4,200,2,400,3,0.021666666666666667,1200,0.7517392635345459,0.013333333333333334,1200,5.947686195373535
35,4,200,2,400,3,0.01929530201342282,1192,0.7350013256072998,0.011666666666666667,1200,5.033822774887085
36,4,200,2,400,3,0.01839464882943144,1196,0.7448573112487793,0.011666666666666667,1200,4.282254934310913
37,4,200,2,400,3,0.016666666666666666,1200,0.7340476512908936,0.01,1200,4.130953550338745
38,4,200,2,400,3,0.030664395229982964,1174,0.7500760555267334,0.013333333333333334,1200,4.520349502563477
39,4,200,2,400,3,0.03166666666666667,1200,0.7367227077484131,0.014321819713563605,1187,5.436439275741577
40,4,200,2,400,3,0.027538726333907058,1162,0.7408034801483154,0.013333333333333334,1200,10.44183611869812
41,5,200,3,600,3,0.04666666666666667,1800,1.0677978992462158,0.03333333333333333,1800,4.014185905456543
42,5,200,3,600,3,0.039686975964225824,1789,1.0649044513702393,0.028888888888888888,1800,6.343987703323364
43,5,200,3,600,3,0.04,1800,1.0703613758087158,0.03333333333333333,1800,5.331112623214722
44,5,200,3,600,3,0.04111111111111111,1800,1.0810954570770264,0.03333333333333333,1800,4.482144117355347
45,5,200,3,600,3,0.06,1800,1.0758984088897705,0.03666666666666667,1800,7.147579908370972
46,5,200,3,600,3,0.05518394648829431,1794,1.0698091983795166,0.035555555555555556,1800,6.36683988571167
47,5,200,3,600,3,0.05747767857142857,1792,1.0657672882080078,0.04,1800,5.681270599365234
48,5,200,3,600,3,0.042222222222222223,1800,1.0853965282440186,0.03,1800,6.701178312301636
49,5,200,3,600,3,0.04888888888888889,1800,1.0678703784942627,0.037430167597765365,1790,4.385264158248901
50,5,200,3,600,3,0.04666666666666667,1800,1.0675621032714844,0.03333333333333333,1800,5.8904852867126465
51,6,200,4,800,3,0.05333333333333334,2400,1.397036075592041,0.045,2400,6.212525367736816
52,6,200,4,800,3,0.0575,2400,1.419363260269165,0.04416666666666667,2400,10.915923357009888
53,6,200,4,800,3,0.0575,2400,1.3863344192504883,0.05,2400,4.790828466415405
54,6,200,4,800,3,0.0525,2400,1.4009218215942383,0.045,2400,6.443920612335205
55,6,200,4,800,3,0.057166876839007986,2379,1.383890151977539,0.049166666666666664,2400,7.066889047622681
56,6,200,4,800,3,0.06166666666666667,2400,1.375180959701538,0.04583333333333333,2400,4.732518911361694
57,6,200,4,800,3,0.05583333333333333,2400,1.3804712295532227,0.043333333333333335,2400,9.596168041229248
58,6,200,4,800,3,0.055,2400,1.3970260620117188,0.04416666666666667,2400,5.141564607620239
59,6,200,4,800,3,0.06786761625471303,2387,1.3960175514221191,0.04833333333333333,2400,8.235979795455933
60,6,200,4,800,3,0.06,2400,1.37141752243042,0.0475,2400,5.248960733413696
61,7,300,2,600,3,0.03888888888888889,1800,2.2724947929382324,0.017777777777777778,1800,15.774561882019043
62,7,300,2,600,3,0.0329608938547486,1790,2.260986804962158,0.016666666666666666,1800,11.668285131454468
63,7,300,2,600,3,0.021252796420581657,1788,2.2875795364379883,0.013333333333333334,1800,8.765873193740845
64,7,300,2,600,3,0.02,1800,2.256680727005005,0.017777777777777778,1800,8.857028484344482
65,7,300,2,600,3,0.024444444444444446,1800,2.2859978675842285,0.0077777777777777776,1800,8.342155456542969
66,7,300,2,600,3,0.028671737858396724,1709,2.300445318222046,0.008888888888888889,1800,12.283121347427368
67,7,300,2,600,3,0.01728945900725042,1793,2.2661783695220947,0.012222222222222223,1800,8.974629878997803
68,7,300,2,600,3,0.026905829596412557,1784,2.2551515102386475,0.016666666666666666,1800,11.415230989456177
69,7,300,2,600,3,0.02181208053691275,1788,2.274346113204956,0.011111111111111112,1800,11.20031189918518
70,7,300,2,600,3,0.024076147816349383,1786,2.303617000579834,0.013333333333333334,1800,11.395150661468506
71,8,300,3,900,3,0.04962962962962963,2700,3.3166420459747314,0.03259259259259259,2700,9.90353512763977
72,8,300,3,900,3,0.0546875,2688,3.328188896179199,0.04,2700,17.737846612930298
73,8,300,3,900,3,0.044444444444444446,2700,3.2898473739624023,0.0362962962962963,2700,11.377567052841187
74,8,300,3,900,3,0.044444444444444446,2700,3.2844717502593994,0.03333333333333333,2700,14.777647972106934
75,8,300,3,900,3,0.04099888184867685,2683,3.3332936763763428,0.03481481481481481,2700,12.528594493865967
76,8,300,3,900,3,0.04814814814814815,2700,3.323582887649536,0.03925925925925926,2700,11.610065221786499
77,8,300,3,900,3,0.04803328290468986,2644,3.3233819007873535,0.034074074074074076,2700,11.991273880004883
78,8,300,3,900,3,0.03811659192825112,2676,3.231212854385376,0.03111111111111111,2700,12.953217506408691
79,8,300,3,900,3,0.04064131245339299,2682,3.3104279041290283,0.03090096798212956,2686,14.031514406204224
80,8,300,3,900,3,0.045437476530229066,2663,3.292999505996704,0.034074074074074076,2700,13.178184747695923
81,9,300,4,1200,3,0.0611731843575419,3580,4.352295398712158,0.043333333333333335,3600,14.727646827697754
82,9,300,4,1200,3,0.06,3600,4.324366807937622,0.04555555555555556,3600,14.01836085319519
83,9,300,4,1200,3,0.05444444444444444,3600,4.289360761642456,0.04833333333333333,3600,12.410330533981323
84,9,300,4,1200,3,0.06277777777777778,3600,4.3215272426605225,0.04833333333333333,3600,12.704696655273438
85,9,300,4,1200,3,0.05555555555555555,3600,4.344038724899292,0.042777777777777776,3600,17.26293110847473
86,9,300,4,1200,3,0.0661111111111111,3600,4.286723613739014,0.04888888888888889,3600,13.311920881271362
87,9,300,4,1200,3,0.06,3600,4.347636938095093,0.04777777777777778,3600,15.310968160629272
88,9,300,4,1200,3,0.04833333333333333,3600,4.280461072921753,0.03833333333333333,3600,11.800066471099854
89,9,300,4,1200,3,0.051111111111111114,3600,4.250983238220215,0.042777777777777776,3600,11.713454246520996
90,9,300,4,1200,3,0.05217391304347826,3565,4.359412431716919,0.04,3600,14.584720134735107
