name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.6525701536085128, 0.1181658605106012, 0.948151791035074, 0.916354588442592
CLSZ Clusters 0 and 2, 0.7748895646962197, 0.18137701179194435, 0.970845442235315, 0.9435615727857496
CLSZ Clusters 0 and 3, 0.8464731547691189, 0.053436660451925744, 0.9781848948114444, 0.9797517522704549
CLSZ Clusters 0 and 4, 0.8416109243406231, 0.40868615268917846, 0.9925013350916762, 0.9496345694358629
CLSZ Clusters 0 and 5, 0.6019534642410025, 0.07374556517683742, 0.912722865352556, 0.9311588282823013
CLSZ Clusters 0 and 6, 0.8419382219433885, 0.22200771370943775, 0.9894890812636402, 0.9808656741418764
CLSZ Clusters 0 and 7, 0.6148610698120065, 0.23901106482005746, 0.8817108906688952, 0.9443370429173833
CLSZ Clusters 0 and 8, 0.721792943107221, 0.021536195865342576, 0.9502814110770303, 0.9584972768240467
CLSZ Clusters 0 and 9, 0.6262187105424157, 0.050895783485066064, 0.9347389336616053, 0.9291312548360441
CLSZ Clusters 1 and 2, 0.5666094018428861, 0.0143605616956161, 0.8962851973082764, 0.8962703382010183
CLSZ Clusters 1 and 3, 0.6236205645845874, 0.08288834986564272, 0.9035334143449771, 0.9253587553074852
CLSZ Clusters 1 and 4, 0.5765996042216359, 0.26180901826065056, 0.9383506421845953, 0.8372196748435126
CLSZ Clusters 1 and 5, 0.4877791614777916, 0.03529240750071481, 0.896073865240888, 0.9055296141597811
CLSZ Clusters 1 and 6, 0.6742069152910808, 0.11150357562571557, 0.9523750323767747, 0.9366280811250053
CLSZ Clusters 1 and 7, 0.47265519220978974, 0.10131884538527584, 0.8542357804309744, 0.8830459771632265
CLSZ Clusters 1 and 8, 0.5464594663447161, 0.013641438936273448, 0.8952550196245307, 0.8957997041018423
CLSZ Clusters 1 and 9, 0.5221434490378418, 0.08970814893773853, 0.9062701877639336, 0.91994799583602
CLSZ Clusters 2 and 3, 0.7397188560349006, 0.20962041947434154, 0.9181953422888951, 0.9599262160420732
CLSZ Clusters 2 and 4, 0.7382548920377868, 0.07821262932651138, 0.9452638771588118, 0.9354368929397393
CLSZ Clusters 2 and 5, 0.4922972191655632, 0.014732066175102742, 0.8758922564399944, 0.8714877161274558
CLSZ Clusters 2 and 6, 0.777875098537269, 0.10530262089572373, 0.9659644935191338, 0.9536497289582102
CLSZ Clusters 2 and 7, 0.5786486315656406, 0.12488974417534283, 0.8942738169966853, 0.9159860782471161
CLSZ Clusters 2 and 8, 0.6071340521883556, 0.022628088051184363, 0.9080240956805654, 0.9005200794795765
CLSZ Clusters 2 and 9, 0.5008071786485523, 0.11539998465943174, 0.859715619967938, 0.8838396100301554
CLSZ Clusters 3 and 4, 0.8312275643743464, 0.3036093286092172, 0.9778065800718982, 0.9424845742238521
CLSZ Clusters 3 and 5, 0.5506938826965301, 0.022723138642635043, 0.897094611301955, 0.8870005566607365
CLSZ Clusters 3 and 6, 0.8480801832079231, 0.2831206573867475, 0.9879217646674855, 0.9715987895958242
CLSZ Clusters 3 and 7, 0.6109901580674023, 0.059937460192595896, 0.9091937507286246, 0.9144707162909427
CLSZ Clusters 3 and 8, 0.6727415336347697, 0.19087498412479037, 0.9522854666261535, 0.9091356278968895
CLSZ Clusters 3 and 9, 0.5674333225353634, 0.12431034663765975, 0.8855915414236997, 0.9157987169566927
CLSZ Clusters 4 and 5, 0.6156989389046332, 0.14788448651077227, 0.9346073660417682, 0.9568911377572429
CLSZ Clusters 4 and 6, 0.8542684581976113, 0.11918655417313463, 0.968867791346782, 0.9797567648897416
CLSZ Clusters 4 and 7, 0.6093086839720867, 0.3046660914650523, 0.8826240966096403, 0.9540400056011678
CLSZ Clusters 4 and 8, 0.6953557523286951, 0.12840714466520187, 0.9288218936652874, 0.9532807500153851
CLSZ Clusters 4 and 9, 0.6366196116063537, 0.19214972635580713, 0.9417495848404538, 0.9598620424100718
CLSZ Clusters 5 and 6, 0.5865572007795524, 0.16861627238655977, 0.9349096934876727, 0.8899625978452894
CLSZ Clusters 5 and 7, 0.46963387902443793, 0.028725142978612995, 0.884124240023265, 0.885905820953521
CLSZ Clusters 5 and 8, 0.42839386481716263, 0.02637155314546111, 0.8352467490750277, 0.8329669618199003
CLSZ Clusters 5 and 9, 0.3563751726519337, 0.049737042735064345, 0.8053979610029038, 0.8199893336513688
CLSZ Clusters 6 and 7, 0.6597223357807467, 0.24685695019565368, 0.9223772977927225, 0.9582439896007979
CLSZ Clusters 6 and 8, 0.7094646028926669, 0.17661317098882237, 0.9332081573539894, 0.9654826078302029
CLSZ Clusters 6 and 9, 0.5922625965238502, 0.3194315500776329, 0.8709982306370242, 0.9565554555605281
CLSZ Clusters 7 and 8, 0.5270334514651223, 0.09788871167494172, 0.8924904469540996, 0.8757232340521239
CLSZ Clusters 7 and 9, 0.5283958188656103, 0.01960119389494106, 0.9141816311712703, 0.9171829568338435
CLSZ Clusters 8 and 9, 0.44972023410295753, 0.11883983873102288, 0.8325453927277311, 0.8666536043537517
Diffusion Algorithm, 0.036468998114230676, 0.07070260891124172, 0.4765900491978956, 0.4065142475360397
