run_id,configuration_id,vertices,edge_multiplier,edges,rank,step_size,diffusion_bipartiteness,diffusion_volume,diffusion_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
1,1,10,2,20,3,0.1,0.03333333333333333,60,28.762279748916626,0.03333333333333333,60,1.215219497680664
2,1,10,2,20,3,0.1,0.0,60,12.766083002090454,0.0,60,0.30806541442871094
3,1,10,2,20,3,0.1,0.06666666666666667,60,14.885317087173462,0.06666666666666667,60,1.2222135066986084
4,1,10,2,20,3,0.1,0.0,60,12.530719995498657,0.03333333333333333,60,0.5199847221374512
5,1,10,2,20,3,0.1,0.03333333333333333,60,22.920352935791016,0.03333333333333333,60,0.34728002548217773
6,1,10,2,20,3,0.1,0.0,60,11.032702684402466,0.0,60,0.24755430221557617
7,1,10,2,20,3,0.1,0.0,60,9.763858079910278,0.0,60,0.282573938369751
8,1,10,2,20,3,0.1,0.0,55,17.464482069015503,0.0,60,0.3021426200866699
9,1,10,2,20,3,0.1,0.06666666666666667,60,13.500612735748291,0.06666666666666667,60,0.5622797012329102
10,1,10,2,20,3,0.1,0.0,58,14.93517518043518,0.0,58,0.42541956901550293
11,2,10,2,20,3,0.5,0.03333333333333333,60,9.835453748703003,0.03333333333333333,60,0.25014734268188477
12,2,10,2,20,3,0.5,0.0,60,1.9756197929382324,0.0,60,0.05230975151062012
13,2,10,2,20,3,0.5,0.0,58,1.8132414817810059,0.0,58,0.049855709075927734
14,2,10,2,20,3,0.5,0.03333333333333333,60,6.370673894882202,0.03333333333333333,60,0.24811553955078125
15,2,10,2,20,3,0.5,0.03333333333333333,60,5.822474718093872,0.03333333333333333,60,0.24891018867492676
16,2,10,2,20,3,0.5,0.03333333333333333,60,9.232724666595459,0.03333333333333333,60,0.24753284454345703
17,2,10,2,20,3,0.5,0.06666666666666667,60,8.54253625869751,0.03333333333333333,60,0.24652743339538574
18,2,10,2,20,3,0.5,0.0,60,2.6808834075927734,0.0,60,0.046923160552978516
19,2,10,2,20,3,0.5,0.0,60,3.408015012741089,0.06666666666666667,60,0.13250994682312012
20,2,10,2,20,3,0.5,0.03333333333333333,60,9.17726755142212,0.03333333333333333,60,0.24982666969299316
21,3,10,2,20,3,1,0.06666666666666667,60,4.751718044281006,0.06666666666666667,60,0.12631583213806152
