name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.41932513205448985, 0.023014829636610543, 0.9361355431485285, 0.9375623892391297
CLSZ Clusters 0 and 2, 0.2113784860557769, 0.01615663888730494, 0.8485168088494994, 0.8484860855368487
CLSZ Clusters 0 and 3, 0.46413588159888125, 0.2696471601348714, 0.9384643794246383, 0.8558474054996729
CLSZ Clusters 0 and 4, 0.5112413108242304, 0.19626065784498178, 0.9673621839214355, 0.948534445053927
CLSZ Clusters 0 and 5, 0.3396404524418158, 0.09725962140151943, 0.8668572899592234, 0.8481357961428142
CLSZ Clusters 0 and 6, 0.4214260605724223, 0.11142687622579533, 0.9024890314112896, 0.8765279863438163
CLSZ Clusters 0 and 7, 0.34822975292380154, 0.12432072957700697, 0.9183196358185924, 0.8970812615940554
CLSZ Clusters 0 and 8, 0.22332905109898982, 0.10725228959897312, 0.8175599026628247, 0.7799071323885863
CLSZ Clusters 0 and 9, 0.5087821135119447, 0.03555402843081715, 0.9269137848599678, 0.9345873489074222
CLSZ Clusters 1 and 2, 0.11976647033946383, 0.020451146046423344, 0.8923773777947412, 0.8793153859252091
CLSZ Clusters 1 and 3, 0.47098318000185857, 0.19659523017153638, 0.9592558060485138, 0.9449386182835117
CLSZ Clusters 1 and 4, 0.4610517021485333, 0.37979337439944644, 0.9680834176239754, 0.8702512803496371
CLSZ Clusters 1 and 5, 0.28995617116664996, 0.17750678129407732, 0.937370412300273, 0.9023330421686626
CLSZ Clusters 1 and 6, 0.38989911570556735, 0.08460064157287757, 0.941855525714207, 0.9335647970631356
CLSZ Clusters 1 and 7, 0.21742657299845417, 0.19783103273208077, 0.9037886912125159, 0.8390560606375447
CLSZ Clusters 1 and 8, 0.19365979568837025, 0.08773717587917333, 0.9345931301112189, 0.9284283430032827
CLSZ Clusters 1 and 9, 0.5009377109849716, 0.13461240157034832, 0.9547980366134217, 0.9414591284339213
CLSZ Clusters 2 and 3, 0.5075871013382067, 0.17279438241363482, 0.9422165506615575, 0.9130383375185063
