run_id,configuration_id,vertices,edge_multiplier,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,diffusion_clique_bipartiteness,diffusion_clique_volume,diffusion_clique_runtime,random_bipartiteness,random_volume,random_runtime,diffusion_random_bipartiteness,diffusion_random_volume,diffusion_random_runtime
1,1,100,2,200,3,0.03270223752151463,581,0.13427424430847168,0.023333333333333334,600,0.5553946495056152,0.13277310924369748,595,0.6238982677459717,0.02,600,2.67514705657959
2,1,100,2,200,3,0.03292894280762565,577,0.13561272621154785,0.02,600,0.6657302379608154,0.1554054054054054,592,0.6423099040985107,0.02666666666666667,600,2.6871187686920166
3,1,100,2,200,3,0.02666666666666667,600,0.13779330253601074,0.016666666666666666,600,0.5588476657867432,0.14333333333333334,600,0.6473507881164551,0.03333333333333333,600,2.7581217288970947
4,1,100,2,200,3,0.02666666666666667,600,0.13680148124694824,0.016666666666666666,600,0.5428357124328613,0.13333333333333333,600,0.6340527534484863,0.02666666666666667,600,2.7013978958129883
5,1,100,2,200,3,0.03333333333333333,600,0.13721466064453125,0.02,600,0.5418696403503418,0.12136752136752137,585,0.6338882446289062,0.023333333333333334,600,2.7253353595733643
6,1,100,2,200,3,0.02,600,0.1392688751220703,0.016666666666666666,600,0.5811195373535156,0.14,600,0.6316421031951904,0.023333333333333334,600,2.7904341220855713
7,1,100,2,200,3,0.03333333333333333,600,0.13598012924194336,0.03,600,0.6767311096191406,0.17,600,0.6238417625427246,0.02666666666666667,600,2.6746532917022705
8,1,100,2,200,3,0.02,600,0.13710904121398926,0.01,600,0.53940749168396,0.13666666666666666,600,0.6432902812957764,0.006666666666666667,600,2.5434670448303223
9,1,100,2,200,3,0.01549053356282272,581,0.1355443000793457,0.01,600,0.5396232604980469,0.14,600,0.6380915641784668,0.023333333333333334,600,2.7013368606567383
10,1,100,2,200,3,0.03270223752151463,581,0.1358652114868164,0.016666666666666666,600,0.5010802745819092,0.12666666666666668,600,0.6386754512786865,0.023333333333333334,600,2.6819522380828857
11,2,100,4,400,3,0.06333333333333334,1200,0.252321720123291,0.045,1200,0.8197779655456543,0.14490311710193765,1187,1.2133843898773193,0.056666666666666664,1200,4.047840118408203
12,2,100,4,400,3,0.05445116681071737,1157,0.2532973289489746,0.041666666666666664,1200,0.8191983699798584,0.14225589225589225,1188,1.1911265850067139,0.06,1200,4.046602249145508
