run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
33,4,20,2,60,3,0.05555555555555555,180,0.0075817108154296875,0.07514450867052024,173,0.4292588233947754
34,4,20,2,60,3,0.05555555555555555,180,0.007518291473388672,0.05555555555555555,180,0.40836524963378906
35,4,20,2,60,3,0.06358381502890173,173,0.007436513900756836,0.044444444444444446,180,0.5874722003936768
36,4,20,2,60,3,0.044444444444444446,180,0.00808572769165039,0.03333333333333333,180,0.41973376274108887
37,4,20,2,60,3,0.06666666666666667,180,0.0080413818359375,0.05555555555555555,180,1.20365571975708
38,4,20,2,60,3,0.11724137931034483,145,0.007750034332275391,0.06666666666666667,180,1.7417874336242676
39,4,20,2,60,3,0.07777777777777778,180,0.007521390914916992,0.05555555555555555,180,0.4046194553375244
40,4,20,2,60,3,0.05555555555555555,180,0.007631063461303711,0.044444444444444446,180,0.41654014587402344
41,5,30,1,120,3,0.044444444444444446,360,0.02119302749633789,0.027777777777777776,360,0.4773426055908203
42,5,30,1,120,3,0.07222222222222222,360,0.019278287887573242,0.07222222222222222,360,0.4928925037384033
43,5,30,1,120,3,0.06666666666666667,360,0.019411325454711914,0.05,360,0.6963038444519043
44,5,30,1,120,3,0.07225433526011561,346,0.018949031829833984,0.05555555555555555,360,0.4839322566986084
45,5,30,1,120,3,0.09444444444444444,360,0.0193941593170166,0.06111111111111111,360,1.3730318546295166
46,5,30,1,120,3,0.06666666666666667,360,0.018955230712890625,0.05,360,0.9093286991119385
47,5,30,1,120,3,0.05555555555555555,360,0.01961684226989746,0.05555555555555555,360,0.6077241897583008
48,5,30,1,120,3,0.044444444444444446,360,0.019286632537841797,0.044444444444444446,360,1.1002743244171143
49,5,30,1,120,3,0.06441717791411043,326,0.01922774314880371,0.03333333333333333,360,0.516425609588623
50,5,30,1,120,3,0.09444444444444444,360,0.018840312957763672,0.07222222222222222,360,0.7229487895965576
51,6,30,2,90,3,0.05185185185185185,270,0.015321016311645508,0.05185185185185185,270,0.8521697521209717
52,6,30,2,90,3,0.034482758620689655,261,0.015372037887573242,0.022222222222222223,270,1.0544543266296387
53,6,30,2,90,3,0.07407407407407407,270,0.017230749130249023,0.07407407407407407,270,0.42661237716674805
54,6,30,2,90,3,0.08888888888888889,270,0.015870332717895508,0.044444444444444446,270,0.9718592166900635
55,6,30,2,90,3,0.01937984496124031,258,0.01534891128540039,0.014814814814814815,270,0.5571904182434082
56,6,30,2,90,3,0.037037037037037035,270,0.016096830368041992,0.037037037037037035,270,0.6541988849639893
57,6,30,2,90,3,0.08745247148288973,263,0.01595330238342285,0.07407407407407407,270,1.2581350803375244
58,6,30,2,90,3,0.06666666666666667,270,0.015413045883178711,0.044444444444444446,270,0.631751298904419
59,6,30,2,90,3,0.037037037037037035,270,0.015403985977172852,0.037037037037037035,270,0.48091769218444824
60,6,30,2,90,3,0.044444444444444446,270,0.0154571533203125,0.02962962962962963,270,0.4748497009277344
61,7,40,1,160,3,0.08333333333333333,480,0.035886526107788086,0.0625,480,0.8579702377319336
62,7,40,1,160,3,0.06581740976645435,471,0.0331113338470459,0.058333333333333334,480,0.6955721378326416
63,7,40,1,160,3,0.041666666666666664,480,0.0328679084777832,0.0375,480,0.9733614921569824
64,7,40,1,160,3,0.044585987261146494,471,0.03223085403442383,0.041666666666666664,480,0.7899954319000244
65,7,40,1,160,3,0.041666666666666664,480,0.033406734466552734,0.041666666666666664,480,0.6606268882751465
66,7,40,1,160,3,0.058333333333333334,480,0.03287315368652344,0.0375,480,0.6080904006958008
67,7,40,1,160,3,0.09583333333333334,480,0.03263258934020996,0.0625,480,1.0233674049377441
68,7,40,1,160,3,0.09554140127388536,471,0.032952070236206055,0.06666666666666667,480,1.2100465297698975
69,7,40,1,160,3,0.0734341252699784,463,0.0326082706451416,0.05416666666666667,480,0.6069521903991699
70,7,40,1,160,3,0.058333333333333334,480,0.03283333778381348,0.041666666666666664,480,0.5460648536682129
71,8,40,2,120,3,0.03888888888888889,360,0.02689051628112793,0.03333333333333333,360,0.8220112323760986
72,8,40,2,120,3,0.03333333333333333,360,0.031221628189086914,0.011111111111111112,360,1.0909216403961182
73,8,40,2,120,3,0.05,360,0.026051759719848633,0.016666666666666666,360,0.6886341571807861
74,8,40,2,120,3,0.06111111111111111,360,0.026508092880249023,0.044444444444444446,360,1.371293306350708
75,8,40,2,120,3,0.048295454545454544,352,0.025899648666381836,0.027777777777777776,360,0.7499253749847412
76,8,40,2,120,3,0.044444444444444446,360,0.026108503341674805,0.03888888888888889,360,0.8329012393951416
77,8,40,2,120,3,0.05555555555555555,342,0.049127817153930664,0.03888888888888889,360,0.9766051769256592
78,8,40,2,120,3,0.061046511627906974,344,0.026221275329589844,0.044444444444444446,360,0.6737005710601807
79,8,40,2,120,3,0.043859649122807015,342,0.02590465545654297,0.03142857142857143,350,0.48811841011047363
80,8,40,2,120,3,0.05555555555555555,360,0.025944948196411133,0.03888888888888889,360,0.7736592292785645
81,9,50,1,200,3,0.06666666666666667,600,0.05132865905761719,0.04666666666666667,600,1.5774295330047607
