run_id,configuration_id,vertices,edge_multiplier,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,diffusion_clique_bipartiteness,diffusion_clique_volume,diffusion_clique_runtime,random_bipartiteness,random_volume,random_runtime,diffusion_random_bipartiteness,diffusion_random_volume,diffusion_random_runtime
1,1,10,2,20,3,0.08928571428571429,56,0.0024793148040771484,0.03333333333333333,60,0.12607264518737793,0.03333333333333333,60,0.0017423629760742188,0.03333333333333333,60,0.630474328994751
2,1,10,2,20,3,0.03333333333333333,60,0.002107858657836914,0.03333333333333333,60,0.1282339096069336,0.06666666666666667,60,0.0017201900482177734,0.03333333333333333,60,0.6335742473602295
3,1,10,2,20,3,0.03333333333333333,60,0.0022389888763427734,0.06666666666666667,60,0.12689876556396484,0.06666666666666667,60,0.0016753673553466797,0.0,60,0.3583564758300781
4,1,10,2,20,3,0.06666666666666667,60,0.0021462440490722656,0.03333333333333333,60,0.12792730331420898,0.06666666666666667,60,0.0017342567443847656,0.03333333333333333,60,0.6362948417663574
5,1,10,2,20,3,0.1,60,0.0021085739135742188,0.06666666666666667,60,0.12790608406066895,0.06666666666666667,60,0.0017333030700683594,0.03333333333333333,60,0.6282579898834229
6,1,10,2,20,3,0.03333333333333333,60,0.0021126270294189453,0.03333333333333333,60,0.12788128852844238,0.03333333333333333,60,0.0017235279083251953,0.03333333333333333,60,0.6323010921478271
7,1,10,2,20,3,0.017543859649122806,57,0.0020830631256103516,0.03333333333333333,60,0.1273038387298584,0.03333333333333333,60,0.0017209053039550781,0.03333333333333333,60,0.6312029361724854
8,1,10,2,20,3,0.03333333333333333,60,0.002110004425048828,0.03333333333333333,60,0.12882423400878906,0.03333333333333333,60,0.001695871353149414,0.03333333333333333,60,0.6296117305755615
9,1,10,2,20,3,0.0,56,0.0020880699157714844,0.0,60,0.03059220314025879,0.03333333333333333,60,0.0017173290252685547,0.0,60,0.4652225971221924
10,1,10,2,20,3,0.0,58,0.0020728111267089844,0.0,53,0.032936811447143555,0.03773584905660377,53,0.0017061233520507812,0.0,60,0.2853410243988037
11,2,10,4,40,3,0.016666666666666666,120,0.002560138702392578,0.016666666666666666,120,0.1388566493988037,0.1,120,0.0029745101928710938,0.05,120,0.6878352165222168
12,2,10,4,40,3,0.06306306306306306,111,0.002432107925415039,0.06306306306306306,111,0.1396803855895996,0.08333333333333333,120,0.0029866695404052734,0.05,120,0.6921205520629883
13,2,10,4,40,3,0.03333333333333333,120,0.0024220943450927734,0.03333333333333333,120,0.1394364833831787,0.08333333333333333,120,0.0029768943786621094,0.03333333333333333,120,0.6875486373901367
14,2,10,4,40,3,0.06666666666666667,120,0.0024046897888183594,0.06666666666666667,120,0.13876676559448242,0.0,120,0.002977132797241211,0.0,120,0.4976511001586914
15,2,10,4,40,3,0.05,120,0.002422332763671875,0.05,120,0.14128708839416504,0.11666666666666667,120,0.002972841262817383,0.05,120,0.6892595291137695
16,2,10,4,40,3,0.12264150943396226,106,0.0024423599243164062,0.03333333333333333,120,0.13864421844482422,0.08411214953271028,107,0.002971172332763672,0.03333333333333333,120,0.6889145374298096
17,2,10,4,40,3,0.08333333333333333,120,0.002412080764770508,0.03333333333333333,120,0.1390383243560791,0.03333333333333333,120,0.002979278564453125,0.06306306306306306,111,0.6919364929199219
18,2,10,4,40,3,0.016666666666666666,120,0.002451181411743164,0.05,120,0.14105820655822754,0.06666666666666667,120,0.002965688705444336,0.016666666666666666,120,0.6965279579162598
19,2,10,4,40,3,0.13761467889908258,109,0.002532482147216797,0.06666666666666667,120,0.15639281272888184,0.05,120,0.0029587745666503906,0.016666666666666666,120,0.698397159576416
20,2,10,4,40,3,0.03333333333333333,120,0.0024232864379882812,0.03333333333333333,120,0.13988399505615234,0.11666666666666667,120,0.0029697418212890625,0.016666666666666666,120,0.6898038387298584
21,3,20,2,40,3,0.016666666666666666,120,0.0030622482299804688,0.03333333333333333,120,0.15618634223937988,0.10526315789473684,114,0.0032927989959716797,0.03333333333333333,120,0.7645862102508545
22,3,20,2,40,3,0.05,120,0.003129243850708008,0.016666666666666666,120,0.15644001960754395,0.11666666666666667,120,0.003326892852783203,0.0,114,0.7224524021148682
23,3,20,2,40,3,0.008771929824561403,114,0.0030939579010009766,0.0,120,0.03721904754638672,0.09565217391304348,115,0.003350973129272461,0.016666666666666666,120,0.7779340744018555
24,3,20,2,40,3,0.03333333333333333,120,0.0030002593994140625,0.03333333333333333,120,0.1553034782409668,0.1,120,0.003331422805786133,0.016666666666666666,120,0.7722508907318115
25,3,20,2,40,3,0.02631578947368421,114,0.003156423568725586,0.016666666666666666,120,0.16820502281188965,0.13333333333333333,120,0.0033812522888183594,0.0,119,0.6949291229248047
