run_id,configuration_id,vertices,edge_multiplier,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,diffusion_clique_bipartiteness,diffusion_clique_volume,diffusion_clique_runtime,random_bipartiteness,random_volume,random_runtime,diffusion_random_bipartiteness,diffusion_random_volume,diffusion_random_runtime
1,1,10,2,20,3,0.03333333333333333,60,0.003124237060546875,0.03333333333333333,60,0.12482929229736328,0.0,60,0.00483393669128418,0.0,60,0.4722309112548828
2,1,10,2,20,3,0.05555555555555555,54,0.0027337074279785156,0.0,57,0.030960559844970703,0.1,60,0.004732847213745117,0.0,60,0.30573105812072754
3,1,10,2,20,3,0.019230769230769232,52,0.00279998779296875,0.0,60,0.06249403953552246,0.03333333333333333,60,0.004751920700073242,0.0,60,0.5836265087127686
4,1,10,2,20,3,0.09433962264150944,53,0.0026993751525878906,0.06666666666666667,60,0.1269528865814209,0.05660377358490566,53,0.004782438278198242,0.01818181818181818,55,0.5383150577545166
5,1,10,2,20,3,0.03333333333333333,60,0.0027074813842773438,0.03333333333333333,60,0.12729740142822266,0.03333333333333333,60,0.004725933074951172,0.03333333333333333,60,0.631108283996582
6,1,10,2,20,3,0.03333333333333333,60,0.002711057662963867,0.0,56,0.030866146087646484,0.13333333333333333,60,0.004739999771118164,0.01818181818181818,55,0.6251969337463379
7,1,10,2,20,3,0.0,60,0.0026848316192626953,0.0,55,0.041846275329589844,0.05660377358490566,53,0.004734992980957031,0.0,56,0.3664405345916748
8,1,10,2,20,3,0.03333333333333333,60,0.002725839614868164,0.0,60,0.03464508056640625,0.05660377358490566,53,0.004769563674926758,0.0,60,0.30852794647216797
9,1,10,2,20,3,0.03333333333333333,60,0.0027039051055908203,0.0,57,0.039780378341674805,0.06666666666666667,60,0.004733085632324219,0.0,60,0.47417259216308594
10,1,10,2,20,3,0.03333333333333333,60,0.002698183059692383,0.0,59,0.04778242111206055,0.03333333333333333,60,0.004591941833496094,0.0,58,0.16576910018920898
11,2,10,4,40,3,0.05,120,0.0034978389739990234,0.05,120,0.1394190788269043,0.05,120,0.00821685791015625,0.03333333333333333,120,0.6897265911102295
12,2,10,4,40,3,0.05,120,0.0036203861236572266,0.05,120,0.14246201515197754,0.1,120,0.008257865905761719,0.03333333333333333,120,0.7003629207611084
13,2,10,4,40,3,0.045454545454545456,110,0.0034661293029785156,0.03333333333333333,120,0.13935208320617676,0.11666666666666667,120,0.00841522216796875,0.03333333333333333,120,0.7355716228485107
14,2,10,4,40,3,0.06666666666666667,120,0.0035800933837890625,0.06666666666666667,120,0.14238452911376953,0.11666666666666667,120,0.00832366943359375,0.05,120,0.7039668560028076
15,2,10,4,40,3,0.08035714285714286,112,0.003461122512817383,0.06666666666666667,120,0.1416318416595459,0.1,120,0.008286476135253906,0.016666666666666666,120,0.7360279560089111
16,2,10,4,40,3,0.03333333333333333,120,0.0036382675170898438,0.03333333333333333,120,0.1634829044342041,0.05,120,0.008273839950561523,0.016666666666666666,120,0.6949079036712646
17,2,10,4,40,3,0.05,120,0.003484964370727539,0.03333333333333333,120,0.13974618911743164,0.06666666666666667,120,0.008247852325439453,0.03333333333333333,120,0.6908462047576904
18,2,10,4,40,3,0.0673076923076923,104,0.003432750701904297,0.03333333333333333,120,0.1388990879058838,0.11666666666666667,120,0.008254766464233398,0.03333333333333333,120,0.68985915184021
19,2,10,4,40,3,0.03333333333333333,120,0.0034875869750976562,0.03333333333333333,120,0.13840889930725098,0.06666666666666667,120,0.008188724517822266,0.03333333333333333,120,0.7209975719451904
20,2,10,4,40,3,0.11666666666666667,120,0.003511667251586914,0.1,120,0.14133548736572266,0.016666666666666666,120,0.008759737014770508,0.016666666666666666,120,0.7353811264038086
21,3,20,2,40,3,0.07407407407407407,108,0.006410360336303711,0.016666666666666666,120,0.1699821949005127,0.1,120,0.0184476375579834,0.0,120,0.7422354221343994
22,3,20,2,40,3,0.016666666666666666,120,0.006451606750488281,0.0,120,0.06499218940734863,0.06666666666666667,120,0.01876974105834961,0.03333333333333333,120,0.8095695972442627
23,3,20,2,40,3,0.016666666666666666,120,0.005913257598876953,0.016666666666666666,120,0.18037199974060059,0.08333333333333333,120,0.018889665603637695,0.016666666666666666,120,0.8182668685913086
24,3,20,2,40,3,0.06666666666666667,120,0.005953550338745117,0.016666666666666666,120,0.1604158878326416,0.11926605504587157,109,0.017670154571533203,0.03333333333333333,120,0.778364896774292
25,3,20,2,40,3,0.057692307692307696,104,0.005894660949707031,0.03333333333333333,120,0.15865659713745117,0.08849557522123894,113,0.017801284790039062,0.016666666666666666,120,0.7731480598449707
26,3,20,2,40,3,0.03333333333333333,120,0.00595402717590332,0.016666666666666666,120,0.15764975547790527,0.09259259259259259,108,0.01770162582397461,0.0,120,0.7364387512207031
27,3,20,2,40,3,0.02608695652173913,115,0.005991220474243164,0.016666666666666666,120,0.15781664848327637,0.11504424778761062,113,0.01755690574645996,0.0,116,0.6229238510131836
28,3,20,2,40,3,0.07894736842105263,114,0.0061037540435791016,0.05,120,0.15902328491210938,0.08333333333333333,120,0.017628908157348633,0.016666666666666666,120,0.7786257266998291
29,3,20,2,40,3,0.06306306306306306,111,0.005882740020751953,0.016666666666666666,120,0.15783143043518066,0.08620689655172414,116,0.01768636703491211,0.016666666666666666,120,0.7738409042358398
30,3,20,2,40,3,0.016666666666666666,120,0.005897998809814453,0.016666666666666666,120,0.15676116943359375,0.1320754716981132,106,0.017575979232788086,0.016666666666666666,120,0.7704367637634277
31,4,20,4,80,3,0.09166666666666666,240,0.008973360061645508,0.05,240,0.18668580055236816,0.09292035398230089,226,0.03412485122680664,0.05,240,0.9783623218536377
32,4,20,4,80,3,0.025,240,0.009119272232055664,0.025,240,0.19874930381774902,0.10833333333333334,240,0.03409385681152344,0.03333333333333333,240,0.9790666103363037
33,4,20,4,80,3,0.1,240,0.009194135665893555,0.06666666666666667,240,0.1894993782043457,0.08333333333333333,240,0.032300710678100586,0.03333333333333333,240,0.9545228481292725
34,4,20,4,80,3,0.058333333333333334,240,0.00905919075012207,0.041666666666666664,240,0.18652081489562988,0.10833333333333334,240,0.032129764556884766,0.041666666666666664,240,0.9212753772735596
35,4,20,4,80,3,0.075,240,0.009200811386108398,0.05,240,0.1870100498199463,0.09166666666666666,240,0.032320261001586914,0.058333333333333334,240,0.8180420398712158
36,4,20,4,80,3,0.08333333333333333,240,0.009038209915161133,0.05,240,0.18569016456604004,0.12121212121212122,198,0.03243660926818848,0.056768558951965066,229,0.9243834018707275
37,4,20,4,80,3,0.05,240,0.00904703140258789,0.05,240,0.18896150588989258,0.09166666666666666,240,0.03220510482788086,0.041666666666666664,240,0.9308578968048096
38,4,20,4,80,3,0.07589285714285714,224,0.008914947509765625,0.05,240,0.18528246879577637,0.1,240,0.03236579895019531,0.03333333333333333,240,0.7595627307891846
39,4,20,4,80,3,0.058333333333333334,240,0.00902867317199707,0.058333333333333334,240,0.19607281684875488,0.13333333333333333,240,0.0340728759765625,0.03333333333333333,240,1.0069241523742676
40,4,20,4,80,3,0.075,240,0.009744405746459961,0.058333333333333334,240,0.20031094551086426,0.10833333333333334,240,0.032297611236572266,0.05,240,1.0196564197540283
