run_id,configuration_id,vertices,edge_multiplier,edges,rank,step_size,diffusion_bipartiteness,diffusion_volume,diffusion_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
1,1,10,2,20,3,0.1,0.03333333333333333,60,10.645431280136108,0.03333333333333333,60,1.235588550567627
2,1,10,2,20,3,0.1,0.03333333333333333,60,12.220009565353394,0.03333333333333333,60,1.3050682544708252
3,1,10,2,20,3,0.1,0.06666666666666667,60,12.599487781524658,0.03333333333333333,60,0.3567471504211426
4,1,10,2,20,3,0.1,0.03333333333333333,60,9.18083930015564,0.03333333333333333,60,0.2532460689544678
5,1,10,2,20,3,0.1,0.0,60,7.35579776763916,0.0,60,0.2922518253326416
6,1,10,2,20,3,0.1,0.0,55,16.309556007385254,0.03333333333333333,60,0.2744638919830322
7,1,10,2,20,3,0.1,0.0,60,10.292583465576172,0.0,56,0.31739020347595215
8,1,10,2,20,3,0.1,0.0,60,15.814834833145142,0.0,60,0.38999485969543457
9,1,10,2,20,3,0.1,0.03333333333333333,60,12.249888181686401,0.03333333333333333,60,0.4142284393310547
10,1,10,2,20,3,0.1,0.1,60,11.879534482955933,0.1,60,1.2198607921600342
11,2,10,2,20,3,0.5,0.0,60,1.6811134815216064,0.0,60,0.06248593330383301
12,2,10,2,20,3,0.5,0.03333333333333333,60,9.121835470199585,0.03333333333333333,60,0.09028863906860352
13,2,10,2,20,3,0.5,0.0,57,1.556359052658081,0.0,57,0.0462799072265625
14,2,10,2,20,3,0.5,0.0,55,1.976938009262085,0.0,55,0.046080589294433594
15,2,10,2,20,3,0.5,0.057692307692307696,52,8.489485025405884,0.06666666666666667,60,0.2585902214050293
16,2,10,2,20,3,0.5,0.03333333333333333,60,6.012029647827148,0.03333333333333333,60,0.2767670154571533
17,2,10,2,20,3,0.5,0.06666666666666667,60,4.749611139297485,0.03333333333333333,60,0.24952006340026855
18,2,10,2,20,3,0.5,0.03333333333333333,60,5.868042469024658,0.03333333333333333,60,0.2575361728668213
19,2,10,2,20,3,0.5,0.0,57,1.391578197479248,0.0,52,0.05350804328918457
20,2,10,2,20,3,0.5,0.0,59,3.2696189880371094,0.03333333333333333,60,0.06653332710266113
21,3,10,2,20,3,1,0.0,60,1.187990665435791,0.0,60,0.04348921775817871
22,3,10,2,20,3,1,0.0,58,1.4734721183776855,0.0,58,0.04382205009460449
23,3,10,2,20,3,1,0.0,60,1.9787790775299072,0.0,60,0.05430865287780762
24,3,10,2,20,3,1,0.0,54,1.5257532596588135,0.0,54,0.033408403396606445
25,3,10,2,20,3,1,0.03333333333333333,60,4.883916854858398,0.0,60,0.030463457107543945
26,3,10,2,20,3,1,0.06666666666666667,60,3.6870481967926025,0.06666666666666667,60,0.1356196403503418
27,3,10,2,20,3,1,0.03333333333333333,60,4.732658386230469,0.03333333333333333,60,0.12949752807617188
28,3,10,2,20,3,1,0.03333333333333333,60,3.379229784011841,0.03333333333333333,60,0.12975358963012695
29,3,10,2,20,3,1,0.0,60,1.462601661682129,0.03333333333333333,60,0.12807130813598633
30,3,10,2,20,3,1,0.03333333333333333,60,5.134618520736694,0.03333333333333333,60,0.13067269325256348
31,4,10,2,20,3,2,0.3137254901960784,51,1.2975566387176514,0.36666666666666664,60,0.0680081844329834
32,4,10,2,20,3,2,0.43636363636363634,55,1.6378214359283447,0.38636363636363635,44,0.06690454483032227
33,4,10,2,20,3,2,0.6363636363636364,44,1.3311188220977783,0.39215686274509803,51,0.06676387786865234
34,4,10,2,20,3,2,0.43333333333333335,60,1.5549464225769043,0.26666666666666666,60,0.06695723533630371
35,4,10,2,20,3,2,0.5897435897435898,39,1.4787988662719727,0.5666666666666667,60,0.06706571578979492
36,4,10,2,20,3,2,0.5333333333333333,60,1.4172914028167725,0.5,60,0.06793975830078125
37,4,10,2,20,3,2,0.5333333333333333,60,1.2990493774414062,0.55,40,0.06705951690673828
38,4,10,2,20,3,2,0.13333333333333333,60,1.3534295558929443,0.5,60,0.06705904006958008
39,4,10,2,20,3,2,0.5,60,1.5844683647155762,0.5,60,0.06759071350097656
40,4,10,2,20,3,2,0.36538461538461536,52,1.3312654495239258,0.3,60,0.0677480697631836
41,5,10,2,20,3,5,0.3,60,0.4203627109527588,0.6,45,0.03063511848449707
42,5,10,2,20,3,5,0.5869565217391305,46,0.40735888481140137,0.5333333333333333,60,0.02979254722595215
43,5,10,2,20,3,5,0.5185185185185185,54,0.39145565032958984,0.5777777777777777,45,0.029668807983398438
44,5,10,2,20,3,5,0.5777777777777777,45,0.40591001510620117,0.6153846153846154,39,0.03148150444030762
45,5,10,2,20,3,5,0.5666666666666667,60,0.39478254318237305,0.5853658536585366,41,0.029605388641357422
46,5,10,2,20,3,5,0.5714285714285714,35,0.45477747917175293,0.6086956521739131,46,0.02966594696044922
47,5,10,2,20,3,5,0.5918367346938775,49,0.4461369514465332,0.6,35,0.02974414825439453
48,5,10,2,20,3,5,0.4666666666666667,60,0.44023585319519043,0.6170212765957447,47,0.029732465744018555
49,5,10,2,20,3,5,0.5853658536585366,41,0.42348241806030273,0.6046511627906976,43,0.03197050094604492
50,5,10,2,20,3,5,0.5833333333333334,48,0.456434965133667,0.5918367346938775,49,0.029705047607421875
51,6,10,4,40,3,0.1,0.05,120,14.651322364807129,0.05,120,1.3358933925628662
52,6,10,4,40,3,0.1,0.06666666666666667,120,13.656728506088257,0.08333333333333333,120,0.39944028854370117
53,6,10,4,40,3,0.1,0.05,120,11.233638286590576,0.05,120,0.23471832275390625
54,6,10,4,40,3,0.1,0.05,120,8.762218952178955,0.05,120,0.23269104957580566
55,6,10,4,40,3,0.1,0.05,120,9.922562599182129,0.05,120,0.8802182674407959
56,6,10,4,40,3,0.1,0.07339449541284404,109,14.225746393203735,0.06666666666666667,120,0.8058426380157471
57,6,10,4,40,3,0.1,0.03333333333333333,120,9.667694807052612,0.03333333333333333,120,1.3502986431121826
58,6,10,4,40,3,0.1,0.016666666666666666,120,13.679004907608032,0.016666666666666666,120,0.2702481746673584
59,6,10,4,40,3,0.1,0.05,120,14.518763542175293,0.05,120,0.33276939392089844
60,6,10,4,40,3,0.1,0.03333333333333333,120,10.33108401298523,0.03333333333333333,120,0.7604584693908691
61,7,10,4,40,3,0.5,0.05,120,5.286881923675537,0.05,120,0.2959771156311035
